brand_ko,brand_en,domestic_global,category,size_label,shoulder_cm,chest_half_cm,length_cm,sleeve_cm,waist_half_cm,rise_cm,thigh_cm,hem_cm,price_min_krw,price_max_krw,brand_domain,collected_date,source_url,reliability,manual_collection,note
커버낫,Covernat,국내,맨투맨(헤비웨이트 오버핏),S,86,61.5,66,29,,,,,,,covernat.net,2026-06-10,https://covernat.net,상,FALSE,화장86/소매통29. 오버핏 정사이즈
커버낫,Covernat,국내,맨투맨(헤비웨이트 오버핏),M,89,65,69,31,,,,,,,covernat.net,2026-06-10,https://covernat.net,상,FALSE,화장89/소매통31
커버낫,Covernat,국내,맨투맨(헤비웨이트 오버핏),L,91,67.5,71,32,,,,,,,covernat.net,2026-06-10,https://covernat.net,상,FALSE,화장91/소매통32
커버낫,Covernat,국내,맨투맨(헤비웨이트 오버핏),XL,93,70,73,33,,,,,,,covernat.net,2026-06-10,https://covernat.net,상,FALSE,화장93/소매통33
커버낫,Covernat,국내,맨투맨(C로고),S,52,55,65,58,,,,,46900,46900,covernat.net,2026-06-10,https://covernat.net,상,FALSE,레귤러~세미오버
커버낫,Covernat,국내,맨투맨(C로고),M,54.5,58.5,68,60,,,,,46900,46900,covernat.net,2026-06-10,https://covernat.net,상,FALSE,
커버낫,Covernat,국내,맨투맨(C로고),L,56,61,70,61,,,,,46900,46900,covernat.net,2026-06-10,https://covernat.net,상,FALSE,
커버낫,Covernat,국내,맨투맨(C로고),XL,57.5,63.5,72,62,,,,,46900,46900,covernat.net,2026-06-10,https://covernat.net,상,FALSE,
커버낫,Covernat,국내,맨투맨(피그먼트 어센틱 오버핏),S,59,65,65,57,,,,,,,covernat.net,2026-06-10,https://covernat.net,상,FALSE,오버핏
커버낫,Covernat,국내,맨투맨(피그먼트 어센틱 오버핏),M,60.5,67.5,68,58,,,,,,,covernat.net,2026-06-10,https://covernat.net,상,FALSE,
커버낫,Covernat,국내,맨투맨(피그먼트 어센틱 오버핏),L,62,70,71,59,,,,,,,covernat.net,2026-06-10,https://covernat.net,상,FALSE,
유니클로,UNIQLO,글로벌,AIRism 코튼 오버사이즈 크루넥T,_range,,,,,,,,,,,uniqlo.com,2026-06-10,https://www.uniqlo.com/kr,상,FALSE,XS~4XL 드롭숄더. 공식 사이즈조견표(완성품) 일관적. 세부cm 수동
임블리,IMVELY,국내,플로럴 롱원피스,FREE(44~66),35,43,120,56.5,37,,,,,,imvely.com,2026-06-10,https://imvely.com,상,FALSE,암홀22. 정사이즈
윌슨,Wilson Korea,글로벌,남성상의(표준매핑),S(90),46,48.5,64.5,,,,,,,,wilson.com,2026-06-10,https://www.wilson.co.kr,상,FALSE,가슴단면 47-50/어깨45-47/총장63-66 범위 중앙값
윌슨,Wilson Korea,글로벌,남성상의(표준매핑),M(95),47.5,51,66.5,,,,,,,,wilson.com,2026-06-10,https://www.wilson.co.kr,상,FALSE,가슴49.5-52.5/어깨46.5-48.5/총장65-68
윌슨,Wilson Korea,글로벌,남성상의(표준매핑),L(100),49,53.5,68.5,,,,,,,,wilson.com,2026-06-10,https://www.wilson.co.kr,상,FALSE,가슴52-55/어깨48-50/총장67-70
윌슨,Wilson Korea,글로벌,남성상의(표준매핑),XL(105),50.5,56,70.5,,,,,,,,wilson.com,2026-06-10,https://www.wilson.co.kr,상,FALSE,가슴54.5-57.5/어깨49.5-51.5/총장69-72
윌슨,Wilson Korea,글로벌,여성하의(표준매핑),S(85),,,,,32.5,,28.5,,,,wilson.com,2026-06-10,https://www.wilson.co.kr,상,FALSE,허리단면31-34/엉덩이46-49/허벅지27-30 중앙값
윌슨,Wilson Korea,글로벌,여성하의(표준매핑),M(90),,,,,35,,30,,,,wilson.com,2026-06-10,https://www.wilson.co.kr,상,FALSE,허리33.5-36.5/엉덩이48.5-51.5/허벅지28.5-31.5
