brand_ko,brand_en,category,size_label,volume_ml,volume_oz,cup_or_fill,hot_or_iced,data_type,price_krw,reputation_tag,brand_domain,collected_date,source_url,reliability,manual_collection,note
스타벅스,Starbucks,대형체인,숏(Short),237,8,컵,공용,official_spec,,히든사이즈,starbucks.com,2026-06-10,https://www.starbucks.co.kr,상,FALSE,단위변환 앵커
스타벅스,Starbucks,대형체인,톨(Tall),355,12,컵,공용,official_spec,4500,,starbucks.com,2026-06-10,https://www.starbucks.co.kr,상,FALSE,공식 앱 기준
스타벅스,Starbucks,대형체인,그란데(Grande),473,16,컵,공용,official_spec,,,starbucks.com,2026-06-10,https://www.starbucks.co.kr,상,FALSE,
스타벅스,Starbucks,대형체인,벤티(Venti),591,20,컵,핫,official_spec,,,starbucks.com,2026-06-10,https://www.starbucks.co.kr,상,FALSE,아이스는 24oz
스타벅스,Starbucks,대형체인,트렌타(Trenta),887,30,컵,아이스,official_spec,6900,초대용량,starbucks.com,2026-06-10,https://www.starbucks.co.kr,상,FALSE,"2023.7.20 출시, 아이스 전용. 콜드브루 6900원"
투썸플레이스,A Twosome Place,대형체인,레귤러,355,12,충전,핫,perception,4500,,twosome.co.kr,2026-06-10,,하,FALSE,ICE는 414mL 별도행
투썸플레이스,A Twosome Place,대형체인,레귤러,414,14,충전,아이스,perception,4500,,twosome.co.kr,2026-06-10,,하,FALSE,핫355/아이스414 분리
투썸플레이스,A Twosome Place,대형체인,라지,474,16,충전,공용,perception,5000,,twosome.co.kr,2026-06-10,,하,FALSE,
투썸플레이스,A Twosome Place,대형체인,맥스,591,20,충전,공용,perception,,,twosome.co.kr,2026-06-10,,하,FALSE,
커피빈,The Coffee Bean,대형체인,스몰,355,12,컵,공용,perception,,,coffeebeankorea.com,2026-06-10,,하,FALSE,레귤러가 큰 사이즈라 혼란
커피빈,The Coffee Bean,대형체인,레귤러,473,16,컵,공용,perception,,,coffeebeankorea.com,2026-06-10,,하,FALSE,473~476
커피빈,The Coffee Bean,대형체인,라지,591,20,컵,공용,perception,,,coffeebeankorea.com,2026-06-10,,하,FALSE,
폴바셋,Paul Bassett,대형체인,스탠다드,360,,충전,공용,perception,,,paulbassett.co.kr,2026-06-10,,하,FALSE,아메리카노 단일. 룽고300/그랜드룽고400 별도
메가커피,Mega Coffee,저가대용량,기본(20oz),500,20,충전,핫,perception,1500,가성비,,2026-06-10,,하,FALSE,아이스는 590mL
메가커피,Mega Coffee,저가대용량,기본(20oz),590,20,충전,아이스,perception,2000,가성비,,2026-06-10,,하,FALSE,
메가커피,Mega Coffee,저가대용량,24oz,710,24,컵,공용,perception,,,,2026-06-10,,하,FALSE,
메가커피,Mega Coffee,저가대용량,메가리카노(32oz),960,32,컵,아이스,perception,3000,초대용량,,2026-06-10,,하,FALSE,최대 쓰리샷. 일부매장 1L 왕메가리카노
컴포즈커피,Compose Coffee,저가대용량,14oz,414,14,컵,공용,official_spec,,,composecoffee.com,2026-06-10,https://composecoffee.com,상,FALSE,
