item_ko,item_en,brand_ko,brand_en,category,portion_type,data_type,amount_value,amount_unit,amount_min,amount_max,calorie_kcal,price_min_krw,price_max_krw,brand_domain,collected_date,source_url,reliability,manual_collection,note
밥,Rice,식약처,MFDS,밥류,섭취참고량,official_spec,210,g,,,,,,mfds.go.kr,2026-06-10,https://www.law.go.kr,상,FALSE,곡류·전분 식품군 별표3
유탕면(봉지라면),Instant Noodle,식약처,MFDS,면류,섭취참고량,official_spec,120,g,,,,,,mfds.go.kr,2026-06-10,https://www.law.go.kr,상,FALSE,면 기준 별표3
과자(강냉이·팝콘),Snack,식약처,MFDS,과자,섭취참고량,official_spec,20,g,,,,,,mfds.go.kr,2026-06-10,https://www.law.go.kr,상,FALSE,과자류 세부유형별 상이
시리얼,Cereal,식약처,MFDS,기타,섭취참고량,official_spec,30,g,,,,,,mfds.go.kr,2026-06-10,https://www.law.go.kr,상,FALSE,별표3
아이스크림,Ice Cream,식약처,MFDS,기타,섭취참고량,official_spec,100,g,,,,,,mfds.go.kr,2026-06-10,https://www.law.go.kr,상,FALSE,1/2컵 별표3
음료베이스(농축액·분말),Beverage Base,식약처,MFDS,음료,섭취참고량,official_spec,150,mL,,,,,,mfds.go.kr,2026-06-10,https://www.law.go.kr,상,FALSE,* 범위로만 사용 표기 대상
빵류,Bread,식약처,MFDS,기타,섭취참고량,official_spec,70,g,,,,,,mfds.go.kr,2026-06-10,,하,TRUE,추정. 별표3 원문 대조 필요
우유,Milk,식약처,MFDS,음료,섭취참고량,official_spec,200,mL,,,,,,mfds.go.kr,2026-06-10,,하,TRUE,추정. 별표3 원문 대조 필요
빅맥,Big Mac,맥도날드,McDonald's,버거,완제품,official_spec,223,g,,,582,,,mcdonalds.com,2026-06-10,https://www.mcdonalds.co.kr,상,FALSE,공식 영양정보
한우불고기버거,Hanwoo Bulgogi,롯데리아,Lotteria,버거,완제품,official_spec,263,g,,,572,,,lotteria.com,2026-06-10,https://www.lotteeatz.com,상,FALSE,2021.7 리뉴얼 패티+28%
불고기버거,Bulgogi Burger,롯데리아,Lotteria,버거,완제품,official_spec,188,g,,,476,,,lotteria.com,2026-06-10,https://www.lotteeatz.com,상,FALSE,
더블한우불고기버거,Double Hanwoo,롯데리아,Lotteria,버거,완제품,official_spec,352,g,,,802,,,lotteria.com,2026-06-10,https://www.lotteeatz.com,상,FALSE,
와퍼,Whopper,버거킹,Burger King,버거,완제품,official_spec,,g,,,,,,burgerking.com,2026-06-10,,하,TRUE,공식 g 미확보 데이터없음. 수동
김밥 1줄,Gimbap,김밥천국,Gimbap Cheonguk,분식,1인분,perception,,g,200,300,485,,,,2026-06-10,https://www.pillyze.com,하,FALSE,300g≈485kcal 집계. 200g기준 350~450 집계도
야채김밥 1줄,Veggie Gimbap,김밥천국,Gimbap Cheonguk,분식,1인분,perception,,g,200,250,360,,,,2026-06-10,https://www.inout.team,하,FALSE,매장·집계차
떡볶이 1인분,Tteokbokki,김밥천국,Gimbap Cheonguk,분식,1인분,perception,250,g,,,366,,,,2026-06-10,https://www.pillyze.com,하,FALSE,일반 200g≈300kcal
치즈떡볶이 1인분,Cheese Tteokbokki,김밥천국,Gimbap Cheonguk,분식,1인분,perception,300,g,,,486,,,,2026-06-10,https://www.pillyze.com,하,FALSE,
후라이드치킨,Fried Chicken,교촌,Kyochon,치킨,1인분,perception,,g,,,,,,kyochon.com,2026-06-10,https://www.consumernews.co.kr/news/articleView.html?idxno=735384,하,TRUE,"즉석조리=중량공개의무없음. 100g당 약370kcal, 조리전 약900g 단일출처. 정부 g표기 추진"
