brand,menu,category,amount_value,amount_unit,price_krw,kcal,reliability,source
한솥도시락,빅치킨마요,밥,300,g,5500,817,med,fatsecret
한솥도시락,치킨마요,밥,,g,4300,453,med,fatsecret
본죽,쇠고기야채죽,국물,300,g,10000,185,med,fatsecret
본죽,전복죽,국물,270,g,17500,135,med,다음뉴스
본도시락,본도시락(대표),밥,370,g,,597,med,pillyze
김밥천국,김밥(기본),분식,300,g,4500,485,med,fatsecret
김가네,참치김밥,분식,250,g,,570,med,fatsecret
바르다김선생,바른김밥,분식,220,g,4500,335,med,fatsecret
바르다김선생,참치김밥,분식,290,g,6300,451,med,fatsecret
역전우동0410,옛날우동,면,,,4500,,med,역전우동공식
명륜진사갈비,무한리필갈비,고기,,,9900,,med,namuwiki
새마을식당,열탄불고기,고기,,,9000,,med,새마을공식
홍콩반점0410,짜장면,면,,,6500,,med,danawa
한신포차,한신닭발,고기,,,20000,,med,한신포차공식
원할머니보쌈,맛보쌈(소),고기,850,g,37000,,high,원할머니공식
원할머니보쌈,1인보쌈,고기,,,19000,,high,원할머니공식
놀부부대찌개,부대찌개(레토르트),국물,582,g,,,high,컬리
이바돔감자탕,우거지감자탕(레토르트),국물,1000,g,,,high,컬리
연돈볼카츠,연돈볼카츠,고기,,,3000,,med,theborn
맘스터치,싸이버거,버거,230,g,,594,med,pillyze
맘스터치,화이트갈릭버거,버거,298,g,,638,med,pillyze
롯데리아,불고기버거,버거,188,g,,476,med,fatsecret
롯데리아,새우버거,버거,179,g,,473,med,fatsecret
노브랜드버거,NBB오리지널,버거,189,g,,439,med,fatsecret
노브랜드버거,NBB어메이징,버거,282,g,,725,med,fatsecret
버거킹,와퍼,버거,293,g,,723,med,pillyze
버거킹,와퍼주니어,버거,156,g,,376,med,fatsecret
버거킹,콰트로치즈와퍼,버거,336,g,,887,med,fatsecret
KFC,징거버거,버거,232,g,,389,med,pillyze
KFC,징거타워버거,버거,303,g,,720,med,pillyze
프랭크버거,프랭크버거(R),버거,190,g,,494,med,geniet
네네치킨,쇼킹핫치킨,치킨,1234,g,18000,3103,high,한국소비자원2022
처갓집,슈프림골드양념치킨,치킨,1101,g,18000,2917,high,한국소비자원2022
교촌,교촌오리지날,치킨,625,g,18000,1554,high,한국소비자원2022
호식이두마리,간장치킨,치킨,679,g,,1897,high,한국소비자원2022
BBQ,소이갈릭스,치킨,762,g,,,med,경향신문
굽네,고추바사삭,치킨,600,g,,1590,med,pillyze
BHC,뿌링클,치킨,110,g(조각),,290,med,fatsecret
푸라닭,블랙알리오치킨,치킨,60,g(조각),,140,med,pillyze
배스킨라빈스,아이스크림,아이스크림(싱글레귤러),115,g,3900,246,high,배라공식
배스킨라빈스,아이스크림,아이스크림(싱글킹),145,g,4700,,high,배라공식
배스킨라빈스,아이스크림,아이스크림(더블레귤러),230,g,7300,,high,배라공식
배스킨라빈스,아이스크림,파인트(용기포함),336,g,9800,,high,배라공식
배스킨라빈스,아이스크림,쿼터(용기포함),643,g,18500,,high,배라공식
배스킨라빈스,아이스크림,패밀리(용기포함),989,g,26000,,high,배라공식
배스킨라빈스,아이스크림,하프갤런(용기포함),1237,g,31500,,high,배라공식
나뚜루,오리지널파인트,아이스크림,474,ml,,,high,컬리
설빙,인절미빙수,빙수,508,g,,508,med,pillyze
설빙,딸기빙수,빙수,400,g,,,med,pillyze
던킨,글레이즈드도넛,도넛,45,g,,199,med,fatsecret
던킨,보스톤크림도넛,도넛,57,g,,245,med,fatsecret
크리스피크림,오리지널글레이즈드,도넛,47,g,,210,med,fatsecret
파리바게뜨,단팥빵,베이커리,85,g,,220,med,fatsecret
파리바게뜨,소보로빵,베이커리,80,g,,290,med,fatsecret
뚜레쥬르,크로크무슈,베이커리,147,g,,475,med,pillyze
명랑핫도그,오리지날핫도그,베이커리,90,g,,248,med,pillyze
명랑핫도그,감자핫도그,베이커리,184,g,,,med,pillyze
스타벅스,클래식스콘,베이커리,105,g,,,med,pillyze
