product_ko,product_en,brand_ko,brand_en,category,container,data_type,scoville_shu,scoville_min,scoville_max,measured_on,version_year,spice_level_label,perceived_level,price_min_krw,price_max_krw,brand_domain,collected_date,source_url,reliability,manual_collection,note
불닭볶음면,Buldak,삼양식품,Samyang,라면-볶음,봉지,official_spec,4404,,,스프,,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/불닭볶음면/자매품/라면류,중,FALSE,시리즈 기준 앵커
불닭볶음탕면,Buldak Soup,삼양식품,Samyang,라면-국물,봉지,official_spec,4705,,,스프,,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/불닭볶음면/자매품/라면류,중,FALSE,국물형
불닭볶음면(큰컵),Buldak Big Cup,삼양식품,Samyang,라면-볶음,큰컵,official_spec,3210,,,소스,,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/불닭볶음면/자매품/라면류,중,FALSE,컵은 봉지보다 낮음
까르보불닭볶음면,Carbo Buldak,삼양식품,Samyang,라면-볶음,봉지,official_spec,,2300,2400,소스,,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/불닭볶음면/자매품/라면류,중,FALSE,출처충돌 2300 vs 2400
짜장불닭볶음면,Jjajang Buldak,삼양식품,Samyang,라면-볶음,봉지,official_spec,2000,,,소스,,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/불닭볶음면/자매품/라면류,중,FALSE,
마라불닭볶음면,Mala Buldak,삼양식품,Samyang,라면-볶음,봉지,official_spec,4400,,,소스,,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/불닭볶음면/자매품/라면류,중,FALSE,"'핵불닭2배'는 낭설, 오리지널과 거의 동급"
치즈불닭볶음면(큰컵),Cheese Buldak Big Cup,삼양식품,Samyang,라면-볶음,큰컵,official_spec,2755,,,소스,,,,,,samyangfoods.com,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,
핵불닭볶음면,Nuclear Buldak,삼양식품,Samyang,라면-볶음,봉지,official_spec,8706,,,소스,2017,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/핵불닭볶음면,중,FALSE,최초 버전
핵불닭볶음면,Nuclear Buldak,삼양식품,Samyang,라면-볶음,봉지,official_spec,10000,,,소스,2018,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/핵불닭볶음면,중,FALSE,2018 리뉴얼 상향
핵불닭볶음면 미니,Nuclear Buldak Mini,삼양식품,Samyang,라면-볶음,봉지,official_spec,12000,,,소스,2019,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/핵불닭볶음면,중,FALSE,국내 라인업 내 최고. 7-ELEVEN 공식SNS 표기
핵불닭볶음면(큰컵),Nuclear Buldak Big Cup,삼양식품,Samyang,라면-볶음,큰컵,official_spec,6504,,,소스,,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/핵불닭볶음면,중,FALSE,
핵불닭볶음면 3x,Nuclear Buldak 3x,삼양식품,Samyang,라면-볶음,봉지,official_spec,13000,,,소스,,,,,,samyangfoods.com,2026-06-10,https://namu.wiki/w/핵불닭볶음면,중,FALSE,해외 수출 전용
틈새라면 빨계떡,Teumsae,팔도,Paldo,라면-국물,봉지,official_spec,9413,,,스프,2017,,,,,paldofood.co.kr,2026-06-10,https://catalk.kr/food/hottest-ramen.html,중,FALSE,2017 리뉴얼. 봉지 최상위권
