brand,garment,size_label,waist_inch,waist_circumference_cm,inseam_cm,reliability,source
Dickies,874워크팬츠,W28,28,71,76,high,Dickies EU공식
Dickies,874워크팬츠,W30,30,76,81,high,Dickies EU공식
Dickies,874워크팬츠,W32,32,81,81,high,Dickies EU공식
Dickies,874워크팬츠,W34,34,86,81,high,Dickies EU공식
Dickies,874워크팬츠,W36,36,91,86,high,Dickies EU공식
Dickies,874워크팬츠,W38,38,97,86,high,Dickies EU공식
Levi's,남성진,W28,28,71,81,med,Levi's공식(신체)
Levi's,남성진,W30,30,76,81,med,Levi's공식(신체)
Levi's,남성진,W32,32,81,81,med,Levi's공식(신체)
Levi's,남성진,W34,34,86,81,med,Levi's공식(신체)
Levi's,남성진,W36,36,91,81,med,Levi's공식(신체)
Levi's,남성진,W38,38,97,81,med,Levi's공식(신체)
