brand_ko,brand_en,domestic_global,category,fit_tendency,recommend_adjustment,silhouette,price_min_krw,price_max_krw,brand_domain,collected_date,source_url,reliability,manual_collection,note
무신사 스탠다드,MUSINSA STANDARD,국내,맨투맨/후드,크게,정사이즈,오버핏,24990,75590,musinsa.com,2026-06-10,,하,TRUE,엑스트라오버 등. 같은사이즈 길이편차 후기. cm 수동수집
무신사 스탠다드,MUSINSA STANDARD,국내,반팔티(릴렉스핏),정사이즈,정사이즈,릴렉스/루즈,13890,15900,musinsa.com,2026-06-10,,하,TRUE,L=100~105급. 중고실측. 만족도통계 로그인게이트
스파오,SPAO,국내,맨투맨,정사이즈,정사이즈,레귤러,39900,39900,spao.com,2026-06-10,,하,FALSE,105 어깨60/가슴63/총장70. 중고실측+리뷰
탑텐,TOPTEN10,국내,반팔티(베이직),정사이즈,정사이즈,베이식 레귤러,12900,12900,topten.shinsung.co.kr,2026-06-10,,하,TRUE,3PACK. cm 수동수집
에잇세컨즈,8SECONDS,국내,셔츠/팬츠,정사이즈,정사이즈,슬림핏,19900,23900,ssfshop.com,2026-06-10,,하,FALSE,같은사이즈 편차 평
자라,ZARA,글로벌,티/팬츠,크게,한치수작게,오버핏,18000,32000,zara.com,2026-06-10,,하,FALSE,"EU사이즈, 소매 길게, 편차 큼. 바지 EU-10≈한국"
커버낫,Covernat,국내,맨투맨(오버핏),정사이즈,정사이즈,오버핏,,,covernat.net,2026-06-10,,하,FALSE,공식 실측표는 apparel_official 참조
디스이즈네버댓,thisisneverthat,국내,반팔티,크게,정사이즈,스트릿 오버핏,,,thisisneverthat.com,2026-06-10,,하,FALSE,S 어깨47/가슴53/총장71. 중고
마하그리드,mahagrid,국내,맨투맨,크게,정사이즈,오버핏,29000,54000,,2026-06-10,,하,FALSE,L 총장68/가슴62. 중고실측
예일,YALE,국내,맨투맨,크게,정사이즈,세미오버~오버,34500,59000,,2026-06-10,,하,FALSE,편차 있음. 중고
인사일런스,insilence,국내,맨투맨,크게,정사이즈,오버핏(드롭숄더),33000,132000,,2026-06-10,,하,FALSE,M 가슴62/총장68/어깨63. 중고+자사몰
라이풀,LIFUL,국내,맨투맨,크게,정사이즈,미니멀 오버핏,59000,79000,,2026-06-10,,하,TRUE,cm 수동수집
노스페이스,The North Face,글로벌,눕시 자켓,크게,한치수작게,오버핏,280000,399000,thenorthface.com,2026-06-10,,하,FALSE,다운볼륨 큼·팔통 길다. 이너 적으면 다운
코오롱스포츠/디스커버리,Discovery,국내,플리스,정사이즈,정사이즈,레귤러~세미오버,,,discovery-expedition.com,2026-06-10,,하,FALSE,후리스95 총기장69/어깨46/가슴55
아더에러,ADER error,국내,상의,크게,정사이즈,세미오버,,,,2026-06-10,,하,TRUE,1/2/3 사이즈. cm 수동수집
츄,CHUU,국내,원피스,작게,정사이즈,슬림/크롭,,,,2026-06-10,,하,FALSE,ONE 어깨29/가슴37+(밴딩). 리셀러
육육걸즈,66girls,국내,블라우스/원피스,작게,정사이즈,슬림,,,,2026-06-10,,하,TRUE,FREE 편차큼(가슴77 vs 90). snapfit CDN 봇차단→수동
