size_label,height_cm_min,height_cm_max,age_guide,weight_kg_guide,region,reliability,source
55,50,57,신생아(0~1개월),3~4,KR,med,한국 유아복 호수표준
60,57,63,1~3개월,4~6,KR,high,한국 유아복 호수표준
70,63,73,3~6개월,6~9,KR,high,한국 유아복 호수표준
80,73,83,6~12개월,9~11,KR,high,한국 유아복 호수표준
85,83,88,12~18개월,11~12,KR,med,한국 유아복 호수표준
90,88,93,18~24개월,12~14,KR,high,한국 유아복 호수표준
95,93,98,2~3세,14~15,KR,med,한국 유아복 호수표준
100,98,103,3~4세,15~16,KR,high,한국 유아복 호수표준
110,103,113,4~5세,16~19,KR,high,한국 아동복 호수표준
120,113,123,5~6세,19~23,KR,high,한국 아동복 호수표준
130,123,133,7~8세,23~28,KR,high,한국 아동복 호수표준
140,133,143,9~10세,28~34,KR,high,한국 아동복 호수표준
150,143,153,11~12세,34~42,KR,high,한국 아동복 호수표준
