kr_size_mm,foot_mm_min,foot_mm_max,us_toddler,eu,age_guide,reliability,source
90,80,90,1,16,0~3개월,med,유아화 사이즈표준
100,90,100,2,17,3~6개월,med,유아화 사이즈표준
110,100,110,3,18,6~9개월,high,유아화 사이즈표준
115,105,115,4,19,9~12개월,high,유아화 사이즈표준
120,110,120,5,20,12~15개월,high,유아화 사이즈표준
125,115,125,5.5,21,15~18개월,high,유아화 사이즈표준
130,120,130,6,22,18~24개월,high,유아화 사이즈표준
135,125,135,7,22,2세,high,유아화 사이즈표준
140,130,140,7.5,23,2.5세,high,유아화 사이즈표준
150,140,150,8.5,25,3세,high,아동화 사이즈표준
160,150,160,9.5,26,4세,high,아동화 사이즈표준
170,160,170,11,28,5세,high,아동화 사이즈표준
180,170,180,12,29,6세,high,아동화 사이즈표준
190,180,190,13,31,7세,high,아동화 사이즈표준
200,190,200,1.5(youth),32,8세,high,아동화 사이즈표준
