category,name,brand,country,abv_pct,serving_ml,alcohol_g,kcal,reliability,source
소주,참이슬 후레쉬,하이트진로,KR,16.0,50,6.3,58,high,제품라벨
소주,참이슬 오리지널,하이트진로,KR,20.1,50,7.9,72,high,제품라벨
소주,진로(이즈백),하이트진로,KR,16.0,50,6.3,58,high,제품라벨
소주,처음처럼,롯데칠성,KR,16.0,50,6.3,58,high,제품라벨2025
소주,새로(제로슈거),롯데칠성,KR,16.0,50,6.3,52,high,제품라벨
소주,좋은데이,무학,KR,16.9,50,6.7,61,high,제품라벨
소주,화요17,광주요,KR,17.0,50,6.7,62,med,제품라벨
소주,화요41,광주요,KR,41.0,50,16.2,118,med,제품라벨
소주,안동소주,안동소주,KR,45.0,50,17.8,128,med,제품라벨
맥주,카스 후레쉬,오비맥주,KR,4.5,355,12.6,152,high,제품라벨
맥주,테라,하이트진로,KR,4.6,355,12.9,150,high,제품라벨
맥주,켈리,하이트진로,KR,4.5,355,12.6,150,high,제품라벨
맥주,클라우드,롯데칠성,KR,5.0,355,14.0,160,high,제품라벨
맥주,하이트,하이트진로,KR,4.3,355,12.0,145,high,제품라벨
맥주,카스라이트,오비맥주,KR,4.0,355,11.2,105,high,제품라벨
맥주,필라이트,하이트진로,KR,4.5,355,12.6,140,med,제품라벨
맥주,하이네켄,Heineken,NL,5.0,355,14.0,150,high,제품라벨
맥주,버드와이저,Budweiser,US,5.0,355,14.0,145,high,제품라벨
맥주,호가든,Hoegaarden,BE,4.9,355,13.7,148,high,제품라벨
맥주,아사히 수퍼드라이,Asahi,JP,5.0,355,14.0,140,high,제품라벨
맥주,삿포로,Sapporo,JP,5.0,355,14.0,142,med,제품라벨
맥주,칭다오,Tsingtao,CN,4.7,355,13.2,138,med,제품라벨
맥주,코로나 엑스트라,Corona,MX,4.5,355,12.6,148,high,제품라벨
맥주,기네스 드래프트,Guinness,IE,4.2,440,14.6,176,high,제품라벨
맥주,스텔라 아르투아,Stella Artois,BE,5.0,355,14.0,154,high,제품라벨
맥주,IPA(평균),craft,US,6.5,355,18.2,200,med,크래프트평균
막걸리,장수 생막걸리,서울장수,KR,6.0,200,9.5,116,high,제품라벨
막걸리,지평 생막걸리,지평주조,KR,5.0,200,7.9,100,high,제품라벨
막걸리,느린마을 막걸리,배상면주가,KR,9.0,200,14.2,150,med,제품라벨
와인,레드와인(평균),table red,FR,13.5,150,16.0,125,high,USDA평균
와인,화이트와인(평균),table white,FR,12.0,150,14.2,121,high,USDA평균
와인,스파클링/샴페인,Champagne,FR,12.0,150,14.2,128,med,USDA평균
와인,포트와인,Port,PT,20.0,90,14.2,165,med,제품평균
사케,사케(준마이),Junmai,JP,15.5,180,22.0,193,med,제품평균
청주,백화수복,롯데칠성,KR,13.0,180,18.5,160,med,제품라벨
매실주,매실주(평균),plum,KR,14.0,90,9.9,140,med,제품평균
위스키,발렌타인 17년,Ballantine's,GB,40.0,30,9.5,70,high,제품라벨
위스키,조니워커 블랙,Johnnie Walker,GB,40.0,30,9.5,70,high,제품라벨
위스키,잭 다니엘스,Jack Daniel's,US,40.0,30,9.5,70,high,제품라벨
위스키,글렌피딕 12년,Glenfiddich,GB,40.0,30,9.5,70,high,제품라벨
위스키,맥캘란 12년,Macallan,GB,40.0,30,9.5,70,high,제품라벨
위스키,캐스크스트렝스,cask strength,GB,58.0,30,13.7,98,med,제품평균
보드카,앱솔루트,Absolut,SE,40.0,30,9.5,69,high,제품라벨
진,봄베이 사파이어,Bombay Sapphire,GB,47.0,30,11.1,80,high,제품라벨
럼,바카디,Bacardi,CU,40.0,30,9.5,69,high,제품라벨
데킬라,호세 쿠엘보,Jose Cuervo,MX,38.0,30,9.0,65,med,제품라벨
브랜디,헤네시 VS,Hennessy,FR,40.0,30,9.5,70,high,제품라벨
고량주,연태고량주,Yantai,CN,34.0,30,8.1,60,med,제품라벨
고량주,우량예,Wuliangye,CN,52.0,30,12.3,90,med,제품라벨
리큐르,베일리스,Baileys,IE,17.0,50,6.7,175,med,제품라벨
리큐르,예거마이스터,Jagermeister,DE,35.0,30,8.3,103,med,제품라벨
RTD,호로요이,Horoyoi,JP,3.0,350,8.3,160,med,제품라벨
RTD,스트롱제로,Strong Zero,JP,9.0,350,24.9,160,med,제품라벨
RTD,하이볼(짐빔하이볼),Suntory,JP,7.0,350,19.3,150,med,제품라벨
