brand,country,size_label,volume_ml,hot_or_iced,reliability,source
스타벅스,KR,Short,237,hot,high,스타벅스 공식
스타벅스,KR,Tall,355,both,high,스타벅스 공식
스타벅스,KR,Grande,473,both,high,스타벅스 공식
스타벅스,KR,Venti,591,hot,high,스타벅스 공식
스타벅스,KR,Trenta,888,iced,med,namuwiki
투썸플레이스,KR,R,355,hot,med,coffee4m2022
투썸플레이스,KR,R,414,iced,med,coffee4m2022
투썸플레이스,KR,L,474,both,med,coffee4m2022
투썸플레이스,KR,Max,591,both,med,coffee4m2022
이디야,KR,레귤러,384,both,med,coffee4m2022
이디야,KR,엑스트라,651,both,med,coffee4m2022
이디야,KR,라지(신규기본),532,both,med,ZDNet2025
컴포즈커피,KR,기본,567,both,low,비공식20oz
컴포즈커피,KR,빅포즈,946,iced,high,컴포즈 공식
메가커피,KR,20oz,500,hot,med,coffee4m2022
메가커피,KR,20oz,590,iced,med,coffee4m2022
메가커피,KR,24oz,710,both,med,coffee4m2022
메가커피,KR,32oz,980,both,med,coffee4m2022
빽다방,KR,기본,400,hot,med,coffee4m2022
빽다방,KR,기본,625,iced,med,coffee4m2022
빽다방,KR,빽사이즈,950,iced,med,빽다방 영양정보
할리스,KR,레귤러,354,both,med,coffee4m2022
할리스,KR,그란데,472,both,med,coffee4m2022
할리스,KR,벤티,591,both,med,coffee4m2022
파스쿠찌,KR,레귤러,290,hot,med,coffee4m2022
파스쿠찌,KR,레귤러,370,iced,med,coffee4m2022
파스쿠찌,KR,라지,360,hot,med,coffee4m2022
파스쿠찌,KR,라지,470,iced,med,coffee4m2022
파스쿠찌,KR,벤티,580,iced,med,coffee4m2022
폴바셋,KR,스탠다드(아메),360,both,med,coffee4m2022
폴바셋,KR,스탠다드(룽고),300,both,med,coffee4m2022
폴바셋,KR,그랜드(룽고),400,both,med,coffee4m2022
커피빈,KR,스몰,355,both,med,coffee4m2022
커피빈,KR,레귤러,473,both,med,coffee4m2022
커피빈,KR,라지,591,both,med,coffee4m2022
공차,KR,라지,397,hot,med,공차 영양정보
공차,KR,점보,454,hot,med,공차 영양정보
공차,KR,라지,454,iced,high,공차 영양정보
공차,KR,점보,624,iced,high,공차 영양정보
엔제리너스,KR,12oz,330,both,med,coffee4m2022
엔제리너스,KR,16oz,440,both,med,coffee4m2022
