class,length_mm_min,length_mm_max,width_mm_min,width_mm_max,trunk_l_min,trunk_l_max,example,reliability,source
경차,3500,3600,1595,1600,150,300,모닝/캐스퍼,med,차급 일반제원
소형,3800,4300,1700,1800,300,400,베뉴/셀토스,med,차급 일반제원
준중형,4500,4650,1800,1830,450,500,아반떼/K3,med,차급 일반제원
중형,4700,4900,1850,1870,460,520,쏘나타/K5,med,차급 일반제원
준대형,4950,5100,1870,1900,500,540,그랜저/K8,med,차급 일반제원
대형,5100,5300,1900,1950,500,560,제네시스G80/G90,med,차급 일반제원
소형SUV,4100,4400,1790,1830,350,450,코나/셀토스,med,차급 일반제원
준중형SUV,4500,4700,1850,1900,500,600,투싼/스포티지,med,차급 일반제원
중형SUV,4700,4950,1900,1950,600,700,쏘렌토/싼타페,med,차급 일반제원
대형SUV,5000,5200,1950,2000,600,900,팰리세이드/모하비,med,차급 일반제원
경상용밴,3600,4100,1600,1700,2000,3100,다마스/포터,low,차급 일반제원
