km_per_l,l_per_100km,mpg_us,mpg_uk,grade_guide,reliability,source
5,20.0,11.8,14.1,대형SUV/스포츠,high,단위환산
6,16.7,14.1,16.9,대형차,high,단위환산
7,14.3,16.5,19.8,중형SUV,high,단위환산
8,12.5,18.8,22.6,중형차,high,단위환산
9,11.1,21.2,25.4,중형차,high,단위환산
10,10.0,23.5,28.2,준중형,high,단위환산
12,8.3,28.2,33.9,준중형효율,high,단위환산
14,7.1,32.9,39.5,소형효율,high,단위환산
15,6.7,35.3,42.4,하이브리드급,high,단위환산
16,6.3,37.6,45.2,하이브리드,high,단위환산
18,5.6,42.3,50.8,하이브리드우수,high,단위환산
20,5.0,47.0,56.5,초고효율HEV,high,단위환산
22,4.5,51.7,62.1,경차/HEV,high,단위환산
25,4.0,58.8,70.6,최고효율,high,단위환산
