data_reg_dt,displacement,enterprise,grade,mileage,modelname,rqno,year_oilprice
2026-06-08 12:00:26,798,NULL,5,13.1,비스토 0.8 MPI,401000001,1581744
2026-06-08 12:00:06,798,NULL,4,16,비스토 0.8 MPI,401000002,1295053
2026-06-08 12:00:06,1343,NULL,3,13.2,리오 1.3 SOHC(4Dr),401000007,1569761
2026-06-08 12:00:02,796,NULL,3,18.1,마티즈,401000041,1144798
2026-06-08 12:00:02,1998,NULL,4,9.5,매그너스 2.0 DOHC,401000053,2181142
2026-06-08 12:00:03,1998,NULL,3,12,매그너스 2.0 SOHC,401000056,1726738
2026-06-08 12:00:05,1838,NULL,3,12.2,SM518,401000058,1698430
2026-06-08 12:00:01,1995,NULL,4,9.5,SM520V,401000063,2181142
2026-06-08 12:00:26,2295,NULL,4,8.2,체어맨,401000065,2526933
2026-06-08 12:00:05,2299,NULL,2,11.1,무쏘 2.3,401000069,1607635
2026-06-08 12:00:25,2874,NULL,1,10.5,무쏘 2.9,401000071,1699500
2026-06-08 12:00:01,2299,NULL,3,9.2,코란도 2.3,401000074,1939647
2026-06-08 12:00:01,2299,NULL,2,11.3,코란도 2.3,401000075,1579181
2026-06-08 12:00:01,2874,NULL,2,9,코란도 2.9,401000076,1982750
2026-06-08 12:00:01,2874,NULL,2,9,코란도 2.9,401000078,1982750
2026-06-08 12:00:01,2874,NULL,1,11,코란도 2.9,401000079,1622250
2026-06-08 12:00:01,3199,NULL,3,6.8,코란도 가솔린 3.2,401000081,3047184
2026-06-08 12:00:05,1495,NULL,4,11.5,베르나1.5 DOHC 4Door Sedan,401000090,1801813
2026-06-08 12:00:02,2497,NULL,4,8.1,다이너스티 2.5DOHC,401000121,2558130
2026-06-08 12:00:05,2393,NULL,3,8.6,Audi A4 Cabriolet 2.4,401000143,2409401
2026-06-08 12:00:04,2393,NULL,4,8,Audi A6 2.4 Quattro,401000146,2590106
2026-06-08 12:00:04,2736,NULL,2,8.8,Sebring(2Door),401000155,2354642
2026-06-08 12:00:27,1995,NULL,3,10.8,BMW 318I,401000166,1918597
2026-06-08 12:00:06,2171,NULL,3,8.8,BMW 320i,401000167,2354642
2026-06-08 12:00:01,2171,NULL,4,8.3,BMW 520i,401000168,2496488
2026-06-08 12:00:01,3600,NULL,2,7.6,BMW 735i,401000175,2726428
2026-06-08 12:00:06,1985,사브,5,8.3,사브 9-5 Linear,401000181,2496488
2026-06-08 12:00:27,4564,NULL,3,7.3,캐딜락 스빌 STS,401000185,2838473
2026-06-08 12:00:06,2997,NULL,2,9.1,렉서스 GS 300,401000187,2277016
2026-06-08 12:00:25,1988,NULL,4,9.2,이스케이프,401010003,2252266
2026-06-08 12:00:02,1998,NULL,5,7.7,매그너스 2.0 LPG,401010007,1540500
2026-06-08 12:00:05,2476,NULL,3,9,갤로퍼Ⅱ 2.5TC밴,401010014,1982750
2026-06-08 12:00:04,1795,NULL,4,10.1,라비타 1.8 DOHC,401010015,2051569
2026-06-08 12:00:01,1795,NULL,3,11.4,라비타 1.8 DOHC,401010016,1817618
2026-06-08 12:00:06,2979,NULL,2,8.9,BMW 530i,401010022,2328185
2026-06-08 12:00:05,2687,NULL,2,8.6,포르쉐 Boxster TIP,401010028,2409401
2026-06-08 12:00:05,3596,NULL,3,7.4,포르쉐 911 Carrera Cabriolet,401010030,2800115
2026-06-08 12:00:06,1984,NULL,3,12,Audi A4 2.0,401010032,1726738
2026-06-08 12:00:06,1975,NULL,5,7,카렌스 2.0 LPG,401010041,1694550
2026-06-08 12:00:04,1975,NULL,4,8.4,카렌스 2.0LPG,401010042,1412125
2026-06-08 12:00:06,2957,NULL,1,10.6,프레지오 3밴,401010048,1683467
2026-06-08 12:00:02,2957,NULL,2,9.8,프레지오 3밴,401010049,1820893
2026-06-08 12:00:02,1998,NULL,4,9.9,레조 2.0 DOHC,401010053,2093015
2026-06-08 12:00:04,2476,NULL,4,8.9,갤로퍼Ⅱ 2.5TC장축 7인,401010058,2005028
2026-06-08 12:00:04,2476,NULL,4,8.3,갤로퍼Ⅱ 2.5TC 장축 7인,401010059,2149970
2026-06-08 12:00:06,1998,NULL,2,12.6,레조 2.0 DOHC,401010068,1644512
2026-06-08 12:00:01,2299,NULL,2,11.2,무쏘 2.3,401010098,1593281
2026-06-08 12:00:01,2874,NULL,2,9.2,무쏘 2.9,401010099,1939647
2026-06-08 12:00:01,2874,NULL,2,9.8,이스타나,401010101,1820893
2026-06-08 12:00:04,1975,NULL,4,9.7,투스카니 2.0 DOHC (2.0CVVT),401010112,2136170
2026-06-08 12:00:05,4498,NULL,3,6.7,에쿠스리무진 4.5 MPI(4인),401010121,3092664
2026-06-08 12:00:05,2902,NULL,1,10.4,테라칸 2.9TCI 4WD 7인승,401010126,1715841
2026-06-08 12:00:04,2902,NULL,2,9.3,테라칸 2.9TCI 4WD 7인승,401010127,1918790
2026-06-08 12:00:05,3596,NULL,3,6.6,포르쉐 911 Turbo,401010136,3139523
2026-06-08 12:00:06,1975,NULL,5,7.9,옵티마 β2.0 LPG,401010141,1501500
2026-06-08 12:00:06,2995,NULL,2,9.2,렉서스 ES 300,401010143,2252266
2026-06-08 12:00:25,1998,NULL,4,9.9,그랜저XG 2.0 DOHC,401020004,2093015
2026-06-08 12:00:01,2493,NULL,3,8.6,그랜저XG 2.5 DOHC,401020005,2409401
2026-06-08 12:00:05,2656,NULL,3,7.2,그랜저XG 2.7 LPG(대형)택시,401020007,1647479
2026-06-08 12:00:06,2492,NULL,3,9.1,매그너스2.5 DOHC,401020012,2277016
2026-06-08 12:00:05,1495,NULL,4,11.9,클릭1.5 DOHC,401020021,1741248
2026-06-08 12:00:06,4398,NULL,2,7.7,BMW 745i,401020022,2691019
2026-06-08 12:00:04,4293,NULL,1,8.7,렉서스 SC430,401020035,2381707
2026-06-08 12:00:26,2497,NULL,4,8.7,재규어 S-Type 2.5,401020037,2381707
2026-06-08 12:00:04,1975,NULL,3,10.7,아반떼XD 2.0CVVT 4Door Sedan,401020043,1936528
2026-06-08 12:00:04,1991,NULL,1,13.4,싼타페 2.0 디젤 VGT 4WD,401020052,1331698
