food,category,portion_type,amount_value,amount_unit,amount_min,amount_max,kcal,reliability,source
공기밥(백미),밥,1인분,210,g,,,310,high,식약처표준
즉석밥(햇반210g),밥,완제품,210,g,,,315,high,CJ표시
즉석밥(오뚜기밥),밥,완제품,200,g,,,295,med,오뚜기표시
김밥,밥,1인분,230,g,,,500,med,식약처외식자료집
덮밥(제육덮밥),밥,1인분,500,g,,,782,high,식약처외식자료집
덮밥(잡채밥),밥,1인분,650,g,,,885,high,식약처외식자료집
라면(봉지1봉),면,완제품,120,g,110,120,500,high,식약처표시
라면(용기면),면,섭취참고량,80,g,,,450,high,식약처참고량
짜장면,면,1인분,650,g,400,840,797,high,식약처외식자료집
간짜장,면,1인분,650,g,,,825,high,식약처외식자료집
짬뽕,면,1인분,800,g,,,688,high,식약처외식자료집
우동,면,1인분,550,g,,,440,med,식약처외식자료집
잔치국수,면,1인분,550,g,,,440,med,식약처외식자료집
칼국수,면,1인분,650,g,,,500,med,식약처외식자료집
크림파스타,면,1인분,400,g,,,839,high,식약처외식자료집
토마토파스타,면,1인분,400,g,,,516,med,식약처외식자료집
물냉면,면,1인분,650,g,,,460,med,식약처외식자료집
비빔냉면,면,1인분,550,g,,,480,med,식약처외식자료집
떡볶이,분식,1인분,300,g,250,350,475,med,식약처외식자료집
순대,분식,1인분,200,g,150,250,300,low,일반통용
만두(군/찐),분식,1인분,150,g,,,300,med,일반1인분
햄버거(빅맥),패스트푸드,완제품,223,g,,,582,high,맥도날드공식
감자튀김(중),패스트푸드,완제품,114,g,,,324,high,맥도날드공식
치킨(프라이드1조각),패스트푸드,1조각,70,g,50,100,275,med,업계평균
피자(라지1조각),패스트푸드,1조각,100,g,80,150,290,med,식약처참고량
샌드위치,패스트푸드,섭취참고량,150,g,,,400,high,식약처참고량
시리얼(콘플레이크),기타,섭취참고량,30,g,,,115,high,식약처참고량
식빵(1장),기타,1장,35,g,30,47,100,med,제품표시
우유(1컵),기타,1회제공량,200,ml,,,130,high,식약처참고량
아이스크림(1개),기타,섭취참고량,100,ml,60,100,235,high,식약처참고량
과자(1봉),기타,섭취참고량,30,g,20,30,155,high,식약처참고량
도시락(편의점),기타,완제품,400,g,350,500,700,low,편의점표시
초밥(1세트),기타,1인분,300,g,,,550,low,일반통용
죽(1그릇),기타,1인분,450,g,400,500,325,med,식약처외식자료집
김치찌개,기타,1인분,400,g,350,500,240,med,식약처외식자료집
삼계탕,기타,1인분,1000,g,,,918,high,식약처외식자료집
만두국,기타,1인분,650,g,340,940,350,high,식약처외식자료집
소주(1잔),음료,1잔,50,ml,,,70,med,표준소주잔
소주(1병),음료,완제품,360,ml,,,450,high,표준소주병
맥주(1캔소형),음료,완제품,355,ml,,,175,high,표준캔
맥주(1캔대용량),음료,완제품,500,ml,,,210,high,표준캔
콜라(1캔),음료,완제품,350,ml,250,355,150,high,코카콜라
McDonald's 쿼터파운더치즈,패스트푸드,완제품,199,g,,,520,high,맥도날드공식
McDonald's 치즈버거,패스트푸드,완제품,120,g,,,300,high,맥도날드공식
McDonald's 맥너겟6,패스트푸드,완제품,95,g,,,280,high,맥도날드공식
McDonald's 맥너겟10,패스트푸드,완제품,159,g,,,440,high,맥도날드공식
McDonald's 애플파이,패스트푸드,완제품,77,g,,,249,high,맥도날드
버거킹 와퍼,패스트푸드,완제품,291,g,,,657,med,foodstruct
버거킹 와퍼치즈,패스트푸드,완제품,316,g,,,790,med,foodstruct
KFC 드럼스틱1조각,패스트푸드,완제품,53,g,,,130,high,fastfoodnutrition
KFC 닭다리살1조각,패스트푸드,완제품,104,g,,,280,med,eatthismuch
KFC 징거버거,패스트푸드,완제품,225,g,200,250,450,med,fatsecret
써브웨이 6인치BLT,패스트푸드,완제품,171,g,,,480,high,fastfoodnutrition
써브웨이 풋롱BLT,패스트푸드,완제품,342,g,,,660,med,fastfoodnutrition
롯데리아 불고기버거,패스트푸드,완제품,165,g,,,,med,recipeofhealth
치폴레 치킨부리토,패스트푸드,완제품,510,g,,,1085,med,fastfoodnutrition
던킨 글레이즈드도넛,베이커리,완제품,60,g,,,240,high,던킨공식
크리스피크림 오리지널글레이즈드,베이커리,완제품,52,g,,,190,high,크리스피크림공식
베이글1개,베이커리,완제품,98,g,85,110,,med,foodstruct
크로와상1개,베이커리,완제품,57,g,50,67,231,med,foodstruct
머핀(블루베리),베이커리,완제품,113,g,,,360,med,starbucks
식빵1장,글로벌주식,완제품,28,g,25,32,75,med,arhfoundation
토르티야1장,글로벌주식,완제품,45,g,24,50,,low,tastingtable
쌀국수(포)1인분,글로벌주식,1인분,225,g,200,250,,low,kimecopak
라멘1그릇,글로벌주식,1인분,800,g,700,900,,low,kimecopak
스시 니기리1조각,글로벌주식,완제품,30,g,25,35,,med,japanesefoodlab
파스타 건면1인분,글로벌주식,1인분,85,g,75,100,,med,barilla
스테이크1인분(생육),글로벌주식,1인분,226,g,170,283,,med,steakadvisor
감자칩 개인봉(Lay's),스낵,완제품,28,g,,,160,med,lays
초콜릿바(스니커즈),스낵,완제품,52.7,g,,,250,high,snickers
레드불1캔,음료,완제품,250,ml,,,112,high,redbull
생수1병,음료,완제품,500,ml,,,,high,제조사
