brand,product,category,volume_ml,abv_percent,price_krw,reliability,source
하이트진로,참이슬 후레쉬,소주,360,16.0,1900,high,뉴시스2024
하이트진로,참이슬 오리지널,소주,360,20.1,1900,high,비즈니스포스트
롯데칠성,처음처럼,소주,360,16.0,1900,high,파이낸셜뉴스
롯데칠성,새로,소주,360,16.0,1900,high,한국일보
하이트진로,진로(이즈백),소주,360,16.0,1900,high,한국일보
무학,좋은데이,소주,360,16.0,1900,high,이투데이
대선주조,대선,소주,360,16.5,1900,med,bellus64
오비맥주,카스 후레쉬,맥주,500,4.5,2250,med,dailyshot
오비맥주,카스 후레쉬,맥주,355,4.5,2250,med,뉴시스
하이트진로,테라,맥주,500,4.6,2250,high,뉴시스
하이트진로,테라,맥주,355,4.6,2250,high,뉴시스
하이트진로,켈리,맥주,500,4.5,2250,high,뉴시스
롯데칠성,클라우드,맥주,500,5.0,,high,롯데칠성공식
하이트진로,필라이트,기타(발포주),500,4.5,1600,med,파이낸셜타임스
칭다오,칭다오,맥주,500,4.7,4500,med,머니S
아사히,아사히 슈퍼드라이,맥주,500,5.0,4900,med,아사히공식
하이네켄,하이네켄,맥주,500,5.0,,med,머니S
기네스,기네스 드래프트,맥주,440,4.2,,med,리뷰블로그
서울장수,장수 생막걸리,막걸리,750,6.0,1680,high,이마트에브리데이
지평주조,지평 생막걸리,막걸리,750,5.0,1900,med,bellus64
배상면주가,느린마을 막걸리,막걸리,750,6.0,3400,med,rorajumak
(일반),와인 표준병,와인,750,12.5,,med,wikipedia
(일반),위스키 표준병,위스키,700,40.0,,med,roetell
산토리,짐빔 하이볼,기타(하이볼),350,5.0,3000,med,namuwiki
롯데칠성,청하,기타(청주),300,13.0,2080,med,bellus64
국순당,백세주,기타(약주),375,13.0,,med,bellus64
