brand,size_label,drink,price_krw,reliability,source
스타벅스,Tall,아메리카노,4700,high,스타벅스인상보도2025
스타벅스,Grande,아메리카노,5400,med,서울경제
스타벅스,Venti,아메리카노,6200,med,서울경제
투썸플레이스,Regular,아메리카노,4700,high,ZDNet
이디야,Large(기본),아메리카노,3200,high,ZDNet2025
컴포즈커피,Regular(HOT),아메리카노,2000,med,컴포즈공식
컴포즈커피,Regular(ICE),아이스아메리카노,2400,med,컴포즈공식
메가커피,Regular(HOT),아메리카노,1700,high,서울신문
메가커피,Regular(ICE),아이스아메리카노,2000,med,메가공식
빽다방,Regular(HOT),아메리카노,1700,high,네이트뉴스
빽다방,Regular(ICE),아이스아메리카노,2000,high,디지털데일리
빽다방,빅사이즈(ICE),아이스아메리카노,3300,med,디지털데일리
할리스,Regular,아메리카노,4700,high,pocketo
파스쿠찌,Regular,아메리카노,4700,high,이데일리
파스쿠찌,Large,아메리카노,5300,med,뉴스핌
폴바셋,ICE(단일),아이스아메리카노,4700,med,한국경제
커피빈,Small(기본),아메리카노,5000,high,pocketo
엔제리너스,Small,아메리카노,4300,low,세계일보2018
더벤티,Large(HOT),아메리카노,2000,med,magazineo
더벤티,Large(ICE),아이스아메리카노,2500,med,magazineo
공차,L,아메리카노,4200,high,pocketo
공차,J(점보),아메리카노,4700,high,pocketo
공차,1L,아이스아메리카노,7000,high,pocketo
매머드커피,Regular,아메리카노,2100,med,magazineo
