brand,product,category,volume_ml,price_krw,reliability,source
코카콜라,코카콜라 캔,탄산,350,2100,high,문화일보
코카콜라,코카콜라 페트,탄산,500,2400,high,문화일보
코카콜라,코카콜라 페트,탄산,1500,4000,high,뉴시스
코카콜라,코카콜라 미니캔,탄산,250,1800,med,부산올마켓
펩시,펩시콜라 캔,탄산,355,,high,지마켓
롯데칠성,칠성사이다 캔,탄산,355,,high,다나와
롯데칠성,칠성사이다 미니캔,탄산,250,,high,롯데칠성
코카콜라,환타 오렌지 캔,탄산,355,,high,pyony
코카콜라,스프라이트 캔,탄산,355,1800,high,뉴시스
롯데칠성,마운틴듀 캔,탄산,355,,high,롯데칠성
제주개발공사,제주삼다수,생수,500,950,high,데일리안
제주개발공사,제주삼다수,생수,2000,,high,삼다수몰
롯데칠성,아이시스,생수,500,850,high,데일리안
농심,백산수,생수,500,950,high,데일리안
서울우유,나100% 흰우유,우유,1000,3200,high,한국경제
서울우유,흰우유,우유,200,1200,high,스마트에프엔
서울우유,흰우유,우유,1800,6200,high,스마트에프엔
매일,매일우유 흰우유,우유,900,,med,SSG
남양,맛있는우유GT,우유,900,,med,SSG
코카콜라,미닛메이드 오렌지,주스,175,,high,iffice
델몬트,델몬트 오렌지100,주스,1500,,high,다나와
동아제약,박카스D,에너지,100,,high,다나와
동아제약,박카스F,에너지,120,900,high,글로벌이코노믹
레드불,레드불,에너지,250,2900,high,namuwiki
몬스터,몬스터 에너지,에너지,355,2900,med,namuwiki
롯데칠성,핫식스,에너지,250,1000,high,11번가
게토레이,게토레이 레몬,이온,600,2100,high,마트로몰
동아오츠카,포카리스웨트 캔,이온,245,1700,high,머니투데이
동아오츠카,포카리스웨트 페트,이온,620,2400,high,머니투데이
동아오츠카,포카리스웨트 페트,이온,1500,3600,high,머니투데이
코카콜라,파워에이드 마운틴블라스트,이온,600,2300,high,머니S
광동제약,비타500,이온,100,1500,med,다나와
