brand,menu,spice_level_label,spice_level_rank,scoville_shu,portion_g,price_krw,reliability,source
온정돈까스(디진다),양념 돈가스,양념(2단계),2,,,13500,med,namuwiki/온정돈까스
온정돈까스(디진다),눈물 돈가스,눈물(4단계),4,,,14000,med,namuwiki/온정돈까스
온정돈까스(디진다),디진다 돈가스,디진다(10단계),10,,,,med,namuwiki/온정돈까스
롯데리아,디지게매운돈까스,양념맛(2단계),2,,112,3500,high,lotteeatz공식
롯데리아,디지게매운돈까스,디진다맛(10단계),10,,112,3500,high,lotteeatz공식
동대문엽기떡볶이,엽기떡볶이,착한맛,1,,,14000,med,namuwiki
동대문엽기떡볶이,엽기떡볶이,초보맛,2,,,14000,med,namuwiki
동대문엽기떡볶이,엽기떡볶이,덜매운맛,3,,,14000,med,namuwiki
동대문엽기떡볶이,엽기떡볶이,오리지널,4,,,14000,med,namuwiki
동대문엽기떡볶이,엽기떡볶이,매운맛,5,,,14000,med,namuwiki
신전떡볶이,떡볶이,순한맛,1,,,4000,high,신전공식FAQ
신전떡볶이,떡볶이,중간맛(점주),2,,,4000,high,신전공식FAQ
신전떡볶이,떡볶이,매운맛,3,,,4000,high,신전공식FAQ
청년다방,맵도전떡볶이,맵찔이,1,,,13500,med,신아일보
청년다방,맵도전떡볶이,맵부심,2,,,13500,med,신아일보
청년다방,맵도전떡볶이,맵고수,3,,,13500,med,신아일보
청년다방,맵도전떡볶이,맵도전,4,,,13500,med,신아일보
탕화쿵푸,마라탕,0단계,0,,,6300,high,탕화쿵푸공식
탕화쿵푸,마라탕,1단계(신라면급),1,,,6300,med,namuwiki
탕화쿵푸,마라탕,2단계(불닭급),2,,,6300,med,namuwiki
탕화쿵푸,마라탕,3단계,3,,,6300,med,namuwiki
틈새라면,빨계떡,단일(고정),,8557,,6000,med,namuwiki
죠스떡볶이,죠스떡볶이,단일(순한맛없음),,,,,med,namuwiki
두끼떡볶이,무한리필떡볶이,셀프배합,,,,8900,med,두끼공식
