brand,size_label,menu,price_krw,reliability,source
도미노피자,L,페퍼로니,27900,high,도미노공식
도미노피자,M,페퍼로니,20500,high,도미노공식
도미노피자,L,포테이토,25900,high,도미노공식
도미노피자,M,포테이토,18500,high,도미노공식
도미노피자,L,슈퍼슈프림,27900,high,도미노공식
도미노피자,S,페퍼로니Subzza,7900,high,도미노공식
파파존스,L,페퍼로니,25500,high,파파존스공식
파파존스,F,페퍼로니,30900,high,파파존스공식
파파존스,L,수퍼파파스,28500,high,파파존스공식
파파존스,F,수퍼파파스,33900,high,파파존스공식
파파존스,L,아이리쉬포테이토,27500,high,파파존스공식
파파존스,L,올미트,29500,high,파파존스공식
반올림피자,L,페퍼로니,21900,high,반올림공식
반올림피자,R,페퍼로니,17900,high,반올림공식
반올림피자,L,콤비네이션,21900,high,반올림공식
반올림피자,R,콤비네이션,17900,high,반올림공식
반올림피자,L,포테이토,23900,high,반올림공식
미스터피자,L,포테이토골드,38500,high,미스터피자공식
미스터피자,M,포테이토골드,31500,high,미스터피자공식
미스터피자,L,콤비네이션,28900,med,네이트
피자헛,L,프리미엄(오리지널엣지),35900,med,limeade
피자헛,M,프리미엄(오리지널엣지),29900,med,limeade
7번가피자,L,슈퍼콤비네이션,23300,med,HNS
빽보이피자,L,슈퍼콤비네이션,19900,med,magazineo
피자알볼로,R,콤비네이션,19000,low,magazineo
피자알볼로,R,페퍼로니,18000,low,magazineo
