item,category,price_krw,unit,reliability,source
불닭볶음면(봉지),라면,1250,140g·1봉,high,에누리GS25
불닭볶음면(5입),라면,5520,140g·5입,high,다나와
불닭볶음면(대컵),라면,1800,105g·1개,high,롯데아이몰
핵불닭볶음면(5입),라면,5520,140g·5입,med,다나와
까르보불닭볶음면(5입),라면,5520,130g·5입,med,다나와
불닭볶음탕면(4입),라면,5980,145g·4입,high,이마트에브리데이
신라면(5입),라면,4900,120g·5입,high,동원몰
신라면(소컵),라면,1250,65g·1개,high,서울경제
신라면큰사발,라면,1500,114g·1개,high,서울경제
신라면더레드(4입),라면,5800,123g·4입,high,롯데아이몰
진라면매운맛(20입),라면,15680,120g·20입,high,오뚜기몰
열라면(5입),라면,3500,120g·5입,med,다나와
틈새라면빨계떡(4입),라면,5180,120g·4입,med,홈플러스
팔도비빔면(5입),라면,7800,130g·5입,med,컬리
킹뚜껑(컵),라면,3500,110g·1개,med,다나와
타바스코핫소스,핫소스,4780,60ml·1병,high,이마트몰
스리라차(후이퐁),핫소스,11500,481g·1병,high,이마트몰
프랭크스레드핫,핫소스,9980,354ml·1병,med,쿠팡
삼양핵불닭소스,핫소스,2450,200g·1병,med,다나와
농심먹태청양마요소스,핫소스,5200,250g·1병,high,이마트몰
