brand,product,category,weight_g,price_krw,kcal,reliability,source
농심,새우깡,스낵,90,1500,465,high,fatsecret
오리온,포카칩 오리지널,스낵,66,1700,377,high,fatsecret
롯데웰푸드,꼬깔콘 고소한맛,스낵,67,1700,385,high,inout
오리온,오!감자 그라탕,스낵,50,1700,272,high,hanpoom
농심,양파링,스낵,84,1700,400,med,fatsecret
한국켈로그,프링글스 오리지널,스낵,110,3500,575,high,fatsecret
농심,포테토칩 오리지널,스낵,60,1700,345,high,pillyze
오리온,스윙칩 볶음고추장맛,스낵,60,1700,352,high,fatsecret
농심,꿀꽈배기,스낵,90,1700,450,high,pillyze
농심,자갈치,스낵,90,1700,470,med,농심
오리온,초코파이(1개),초코,35,,172,high,pillyze
롯데웰푸드,빼빼로 오리지널,비스킷,54,1700,270,high,fatsecret
해태제과,홈런볼 초코,비스킷,46,1700,270,high,pillyze
롯데웰푸드,칸쵸,비스킷,54,1700,260,high,fatsecret
해태제과,에이스 크래커,비스킷,121,2000,650,high,pillyze
오리온,다이제 초코,비스킷,225,,1144,med,fatsecret
롯데웰푸드,마가렛트 오리지널,비스킷,176,3000,,high,fatsecret
동서식품,오레오 오리지널,비스킷,100,2000,480,low,fatsecret
롯데웰푸드,몽쉘 카카오,초코,384,4000,,high,inout
크라운제과,마이쮸 사과,젤리,44,1000,182,high,pillyze
하리보,골드베렌,젤리,100,2500,302,med,inout
오리온,왕꿈틀이,젤리,45.5,,136,med,다나와
오뚜기,뿌셔뿌셔 불고기맛,스낵,90,1500,415,high,pillyze
