brand,product,category,weight_g,price_krw,kcal,reliability,source
GS25,혜자도시락(기본),도시락,411,,723,high,pillyze
GS25,완전크닭혜자도시락,도시락,449,,,high,pillyze
GS25,혜자로운집밥도시락,도시락,480,,,high,pillyze
GS25,엄마의6찬도시락,도시락,362,,706,high,fatsecret
CU,백종원백반한판,도시락,412,4000,699,high,fatsecret
CU,급식대가도시락의정석,도시락,415,,,high,pillyze
세븐일레븐,맛장우도시락고기올인원,도시락,409,,840,high,fatsecret
세븐일레븐,이딸라도시락,도시락,201,,390,high,fatsecret
이마트24,참치마요삼각김밥,삼각김밥,110,,185,high,inout
이마트24,더빅더블삼각김밥,삼각김밥,287,,465,high,pillyze
CU,소고기고추장삼각김밥,삼각김밥,115,,184,high,inout
CU,리치참치마요삼각김밥,삼각김밥,173,,340,high,inout
CU,편의점김밥(기본),김밥,245,,388,high,inout
CU,압도적참치김밥,김밥,268,,521,high,fatsecret
농심,신라면컵(소),컵라면,65,,,high,namuwiki
농심,신라면큰사발면,컵라면,114,,,high,코스트코제품
농심,육개장사발면(소),컵라면,86,,375,high,inout
농심,육개장큰사발면,컵라면,110,,490,high,pillyze
오뚜기,진라면컵,컵라면,65,,,high,미스미제품
오뚜기,진라면매운맛큰사발,컵라면,110,,505,high,pillyze
GS25,에그마요샌드위치,샌드위치,145,,,high,pillyze
CU,국민불고기버거,버거,184,,443,high,fatsecret
CU,득템핫바매콤,핫바,180,,432,high,pillyze
CU,핫바(일반),핫바,100,,268,med,pillyze
