BRCD_NO,PRDT_NM,CMPNY_NM,PRDLST_REPORT_NO,PRDLST_NM,HRNK_PRDLST_NM,HTRK_PRDLST_NM,LAST_UPDT_DTM
8809360172547,황금빛하늘내린황태포5미370g,용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360172530,황금빛하늘내린황태포5미320g,용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360172523,황금빛하늘내린황태포5미270g,용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360172172,황금빛하늘내린황태포1미70g,용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360172165,황금빛하늘내린황태포1미65g,용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360172158,황금빛하늘내린황태포1미55g,용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809009575717,해물탕(소),(주)제일수산,1996038911015,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8809105572038,오색약수골고추장,오색전통장,199904040172,고추장,장류,가공식품,2015-01-22 11:12:12.0
8809115421104,약천배추김치,농업회사법인(주)동호식품,199303890481,김치,김치류,가공식품,2015-01-22 11:12:12.0
8809360179041,황금빛하늘내린황태포3미선물세트(44-46),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360179034,황금빛하늘내린황태포2미선물세트(44-46),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178273,황금빛하늘내린황태포2미(48~50),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178266,황금빛하늘내린황태포2미(46~48),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178259,황금빛하늘내린황태포2미(44~46),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178242,황금빛하늘내린황태포2미(42~44),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178235,황금빛하늘내린황태포2미(40~42),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178228,황금빛하늘내린황태포2미(38~40),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178211,황금빛하늘내린황태포2미(36~38),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178570,황금빛하늘내린황태포5미(48~50),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178563,황금빛하늘내린황태포5미(46~48),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178556,황금빛하늘내린황태포5미(44~46),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178549,황금빛하늘내린황태포5미(42~44),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178532,황금빛하늘내린황태포5미(40~42),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178525,황금빛하늘내린황태포5미(38~40),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178518,황금빛하늘내린황태포5미(36~38),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178099,황금빛하늘내린황태포10미(52~54),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178082,황금빛하늘내린황태포10미(50~52),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178075,황금빛하늘내린황태포10미(48~50),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178068,황금빛하늘내린황태포10미(46~48),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178051,황금빛하늘내린황태포10미(44~46),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178044,황금빛하늘내린황태포10미(42~44),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178037,황금빛하늘내린황태포10미(40~42),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178020,황금빛하늘내린황태포10미(38~40),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360178013,황금빛하늘내린황태포10미(36~38),용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8809360172196,황금빛하늘내린황태포1미90g,용대황태연합단대륭영농조합법인,201204020263,건어포,건포류,가공식품,2015-01-22 11:12:12.0
8806403255823,아모레퍼시픽 오설록 국화그린티 (10입) 30G,(주)아모레퍼시픽,19750443001115,침출차,다류,가공식품,2015-01-22 11:12:12.0
8806403255731,아모레퍼시픽 오설록 국화그린티 30G,(주)아모레퍼시픽,19750443001115,침출차,다류,가공식품,2015-01-22 11:12:12.0
8801075007039,사조 고등어 1880g,(주)사조해표,19900128072111,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8801075001327,사조 고등어 400g,(주)사조해표,19900128072111,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8801075011579,사조산업 사조고등어 280G,(주)사조해표,19900128072111,기타 수산물가공품,수산가공식품류,가공식품,2015-01-22 11:12:12.0
8801016327035,샤니 땅콩샌드310G,(주)샤니,1971027500395,빵류,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8801016350996,브데)땅콩샌드,(주)샤니,1971027500395,빵류,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
8801016213093,300땅콩샌드,(주)샤니,1971027500395,빵류,"과자류, 빵류 또는 떡류",가공식품,2015-01-22 11:12:12.0
