pyeong,sqm,sqft,common_use,reliability,source
5,16.5,177.9,원룸,high,1평=3.305785㎡
7,23.1,248.9,원룸,high,1평=3.305785㎡
10,33.1,355.8,투룸/소형,high,1평=3.305785㎡
11.8,39.0,419.8,아파트 39㎡,high,전용면적환산
14.8,49.0,527.4,아파트 49㎡,high,전용면적환산
15,49.6,533.7,소형,high,1평=3.305785㎡
17.8,59.0,635.1,아파트 59㎡(24평형),high,전용면적환산
18,59.5,640.4,복도식소형,high,1평=3.305785㎡
20,66.1,711.6,중소형,high,1평=3.305785㎡
22.4,74.0,796.5,아파트 74㎡,high,전용면적환산
24,79.3,853.9,중형,high,1평=3.305785㎡
25.4,84.0,904.2,아파트 84㎡(34평형),high,전용면적환산
25,82.6,889.5,중형,high,1평=3.305785㎡
29.9,99.0,1065.6,아파트 99㎡,high,전용면적환산
30,99.2,1067.5,중형,high,1평=3.305785㎡
32,105.8,1138.6,대형,high,1평=3.305785㎡
34.5,114.0,1227.1,아파트 114㎡(45평형),high,전용면적환산
40,132.2,1423.3,대형,high,1평=3.305785㎡
40.5,134.0,1442.5,아파트 134㎡,high,전용면적환산
45,148.8,1601.2,대형,high,1평=3.305785㎡
50,165.3,1779.1,대형,high,1평=3.305785㎡
60,198.3,2134.9,상가/대형,high,1평=3.305785㎡
80,264.5,2846.6,상업공간,high,1평=3.305785㎡
100,330.6,3558.3,상업공간,high,1평=3.305785㎡
