name,brand,socket,cores,threads,base_clock_ghz,boost_clock_ghz,tdp_w,launch_year,price_krw,price_usd,reliability,source,note
Ryzen 3 4100,AMD,AM4,4,8,3.8,4.0,65,2022,120000,90,상,AMD official spec,가격 대략(2026-07)
Ryzen 5 5500,AMD,AM4,6,12,3.6,4.2,65,2022,150000,110,상,AMD official spec,가격 대략(2026-07)
Ryzen 5 5600,AMD,AM4,6,12,3.5,4.4,65,2022,175000,130,상,AMD official spec,가격 대략(2026-07)
Ryzen 5 5600G,AMD,AM4,6,12,3.9,4.4,65,2021,200000,150,상,AMD official spec,APU 내장그래픽 / 가격 대략(2026-07)
Ryzen 5 5600X,AMD,AM4,6,12,3.7,4.6,65,2020,215000,160,상,AMD official spec,가격 대략(2026-07)
Ryzen 7 5700X,AMD,AM4,8,16,3.4,4.6,65,2022,270000,200,상,AMD official spec,가격 대략(2026-07)
Ryzen 7 5800X,AMD,AM4,8,16,3.8,4.7,105,2020,335000,250,상,AMD official spec,가격 대략(2026-07)
Ryzen 7 5800X3D,AMD,AM4,8,16,3.4,4.5,105,2022,445000,330,상,AMD official spec,3D V-Cache / 가격 대략(2026-07)
Ryzen 9 5900X,AMD,AM4,12,24,3.7,4.8,105,2020,540000,400,상,AMD official spec,가격 대략(2026-07)
Ryzen 9 5950X,AMD,AM4,16,32,3.4,4.9,105,2020,740000,550,상,AMD official spec,가격 대략(2026-07)
Ryzen 5 7600,AMD,AM5,6,12,3.8,5.1,65,2023,270000,200,상,AMD official spec,가격 대략(2026-07)
Ryzen 5 7600X,AMD,AM5,6,12,4.7,5.3,105,2022,335000,250,상,AMD official spec,가격 대략(2026-07)
Ryzen 7 7700,AMD,AM5,8,16,3.8,5.3,65,2023,390000,290,상,AMD official spec,가격 대략(2026-07)
Ryzen 7 7700X,AMD,AM5,8,16,4.5,5.4,105,2022,470000,350,상,AMD official spec,가격 대략(2026-07)
Ryzen 7 7800X3D,AMD,AM5,8,16,4.2,5.0,120,2023,485000,360,상,AMD official spec,3D V-Cache / 가격 대략(2026-07)
Ryzen 9 7900,AMD,AM5,12,24,3.7,5.4,65,2023,500000,370,상,AMD official spec,가격 대략(2026-07)
Ryzen 9 7900X,AMD,AM5,12,24,4.7,5.6,170,2022,565000,420,상,AMD official spec,가격 대략(2026-07)
Ryzen 9 7900X3D,AMD,AM5,12,24,4.4,5.6,120,2023,675000,500,상,AMD official spec,3D V-Cache / 가격 대략(2026-07)
Ryzen 9 7950X,AMD,AM5,16,32,4.5,5.7,170,2022,755000,560,상,AMD official spec,가격 대략(2026-07)
Ryzen 9 7950X3D,AMD,AM5,16,32,4.2,5.7,120,2023,810000,600,상,AMD official spec,3D V-Cache / 가격 대략(2026-07)
Ryzen 5 8500G,AMD,AM5,6,12,3.5,5.0,65,2024,245000,180,상,AMD official spec,APU 내장그래픽 / 가격 대략(2026-07)
Ryzen 5 8600G,AMD,AM5,6,12,4.3,5.0,65,2024,310000,230,상,AMD official spec,APU 내장그래픽 / 가격 대략(2026-07)
Ryzen 7 8700G,AMD,AM5,8,16,4.2,5.1,65,2024,445000,330,상,AMD official spec,APU 내장그래픽 / 가격 대략(2026-07)
Ryzen 5 9600X,AMD,AM5,6,12,3.9,5.4,65,2024,310000,230,상,AMD official spec,Zen 5 / 가격 대략(2026-07)
Ryzen 7 9700X,AMD,AM5,8,16,3.8,5.5,65,2024,445000,330,상,AMD official spec,Zen 5 / 가격 대략(2026-07)
Ryzen 7 9800X3D,AMD,AM5,8,16,4.7,5.2,120,2024,595000,440,상,AMD official spec,Zen 5 3D V-Cache / 가격 대략(2026-07)
Ryzen 9 9900X,AMD,AM5,12,24,4.4,5.6,120,2024,580000,430,상,AMD official spec,Zen 5 / 가격 대략(2026-07)
Ryzen 9 9900X3D,AMD,AM5,12,24,4.4,5.5,120,2025,715000,530,상,AMD official spec,Zen 5 3D V-Cache / 가격 대략(2026-07)
Ryzen 9 9950X,AMD,AM5,16,32,4.3,5.7,170,2024,755000,560,상,AMD official spec,Zen 5 / 가격 대략(2026-07)
Ryzen 9 9950X3D,AMD,AM5,16,32,4.3,5.7,170,2025,865000,640,상,AMD official spec,Zen 5 3D V-Cache / 가격 대략(2026-07)
Core i3-12100F,Intel,LGA1700,4,8,3.3,4.3,58,2022,135000,100,상,Intel ARK spec,내장그래픽 없음 / 가격 대략(2026-07)
Core i5-12400F,Intel,LGA1700,6,12,2.5,4.4,65,2022,200000,150,상,Intel ARK spec,내장그래픽 없음 / 가격 대략(2026-07)
Core i5-12600K,Intel,LGA1700,10,16,3.7,4.9,125,2021,295000,220,상,Intel ARK spec,6P+4E / 가격 대략(2026-07)
Core i7-12700K,Intel,LGA1700,12,20,3.6,5.0,125,2021,430000,320,상,Intel ARK spec,8P+4E / 가격 대략(2026-07)
Core i9-12900K,Intel,LGA1700,16,24,3.2,5.2,125,2021,605000,450,상,Intel ARK spec,8P+8E / 가격 대략(2026-07)
Core i3-13100F,Intel,LGA1700,4,8,3.4,4.5,58,2023,150000,110,상,Intel ARK spec,내장그래픽 없음 / 가격 대략(2026-07)
Core i5-13400F,Intel,LGA1700,10,16,2.5,4.6,65,2023,270000,200,상,Intel ARK spec,6P+4E / 가격 대략(2026-07)
Core i5-13600K,Intel,LGA1700,14,20,3.5,5.1,125,2022,390000,290,상,Intel ARK spec,6P+8E / 가격 대략(2026-07)
Core i7-13700K,Intel,LGA1700,16,24,3.4,5.4,125,2022,515000,380,상,Intel ARK spec,8P+8E / 가격 대략(2026-07)
Core i9-13900K,Intel,LGA1700,24,32,3.0,5.8,125,2022,755000,560,상,Intel ARK spec,8P+16E / 가격 대략(2026-07)
Core i5-14400F,Intel,LGA1700,10,16,2.5,4.7,65,2024,285000,210,상,Intel ARK spec,6P+4E / 가격 대략(2026-07)
Core i5-14600K,Intel,LGA1700,14,20,3.5,5.3,125,2023,405000,300,상,Intel ARK spec,6P+8E / 가격 대략(2026-07)
Core i7-14700K,Intel,LGA1700,20,28,3.4,5.6,125,2023,540000,400,상,Intel ARK spec,8P+12E / 가격 대략(2026-07)
Core i9-14900K,Intel,LGA1700,24,32,3.2,6.0,125,2023,785000,580,상,Intel ARK spec,8P+16E / 가격 대략(2026-07)
Core Ultra 5 245K,Intel,LGA1851,14,14,4.2,5.2,125,2024,420000,310,상,Intel ARK spec,6P+8E Arrow Lake / 가격 대략(2026-07)
Core Ultra 7 265K,Intel,LGA1851,20,20,3.9,5.5,125,2024,540000,400,상,Intel ARK spec,8P+12E Arrow Lake / 가격 대략(2026-07)
Core Ultra 9 285K,Intel,LGA1851,24,24,3.7,5.7,125,2024,795000,590,상,Intel ARK spec,8P+16E Arrow Lake / 가격 대략(2026-07)
Core Ultra 5 250K Plus,Intel,LGA1851,18,18,4.2,5.4,125,2026,270000,199,중,Intel Newsroom 2026-03,6P+12E Arrow Lake Refresh / 가격 출시가
Core Ultra 7 270K Plus,Intel,LGA1851,20,20,3.9,5.6,125,2026,405000,299,중,Intel Newsroom 2026-03,8P+12E Arrow Lake Refresh / 가격 출시가
Ryzen 9 9950X3D2 Dual,AMD,AM5,16,32,4.3,5.7,200,2026,1215000,899,중,TechPowerUp/AMD 2026,양CCD 3D V-Cache 208MB / 가격 출시가
