name,brand,capacity_tb,rpm,cache_mb,interface,form_factor,launch_year,price_krw,price_usd,reliability,source,note
WD Blue 1TB,Western Digital,1,7200,64,SATA III,3.5in,2019,50000,37,상,제조사 spec,가격 대략(2026-07)
WD Blue 2TB,Western Digital,2,7200,256,SATA III,3.5in,2020,80000,59,상,제조사 spec,가격 대략(2026-07)
WD Blue 4TB,Western Digital,4,5400,256,SATA III,3.5in,2020,125000,93,상,제조사 spec,가격 대략(2026-07)
WD Blue 6TB,Western Digital,6,5400,256,SATA III,3.5in,2021,175000,130,상,제조사 spec,가격 대략(2026-07)
WD Black 2TB,Western Digital,2,7200,64,SATA III,3.5in,2019,135000,100,상,제조사 spec,성능형 / 가격 대략(2026-07)
WD Black 4TB,Western Digital,4,7200,256,SATA III,3.5in,2020,200000,148,상,제조사 spec,성능형 / 가격 대략(2026-07)
WD Red Plus 4TB,Western Digital,4,5400,128,SATA III,3.5in,2020,150000,111,상,제조사 spec,NAS용 / 가격 대략(2026-07)
WD Red Plus 8TB,Western Digital,8,5640,256,SATA III,3.5in,2020,270000,200,상,제조사 spec,NAS용 / 가격 대략(2026-07)
WD Red Pro 8TB,Western Digital,8,7200,256,SATA III,3.5in,2021,310000,230,상,제조사 spec,NAS용 / 가격 대략(2026-07)
WD Red Pro 12TB,Western Digital,12,7200,256,SATA III,3.5in,2021,420000,311,상,제조사 spec,NAS용 / 가격 대략(2026-07)
WD Red Pro 16TB,Western Digital,16,7200,512,SATA III,3.5in,2022,540000,400,상,제조사 spec,NAS용 / 가격 대략(2026-07)
WD Gold 8TB,Western Digital,8,7200,256,SATA III,3.5in,2021,335000,248,상,제조사 spec,엔터프라이즈 / 가격 대략(2026-07)
WD Gold 16TB,Western Digital,16,7200,512,SATA III,3.5in,2022,565000,419,상,제조사 spec,엔터프라이즈 / 가격 대략(2026-07)
WD Gold 22TB,Western Digital,22,7200,512,SATA III,3.5in,2023,740000,548,상,제조사 spec,엔터프라이즈 / 가격 대략(2026-07)
Seagate BarraCuda 1TB,Seagate,1,7200,64,SATA III,3.5in,2019,48000,36,상,제조사 spec,가격 대략(2026-07)
Seagate BarraCuda 2TB,Seagate,2,7200,256,SATA III,3.5in,2020,78000,58,상,제조사 spec,가격 대략(2026-07)
Seagate BarraCuda 4TB,Seagate,4,5400,256,SATA III,3.5in,2020,120000,89,상,제조사 spec,가격 대략(2026-07)
Seagate BarraCuda 8TB,Seagate,8,5400,256,SATA III,3.5in,2021,235000,174,상,제조사 spec,가격 대략(2026-07)
Seagate IronWolf 4TB,Seagate,4,5900,64,SATA III,3.5in,2020,150000,111,상,제조사 spec,NAS용 / 가격 대략(2026-07)
Seagate IronWolf 8TB,Seagate,8,7200,256,SATA III,3.5in,2021,290000,215,상,제조사 spec,NAS용 / 가격 대략(2026-07)
Seagate IronWolf Pro 12TB,Seagate,12,7200,256,SATA III,3.5in,2021,430000,319,상,제조사 spec,NAS용 / 가격 대략(2026-07)
Seagate IronWolf Pro 16TB,Seagate,16,7200,256,SATA III,3.5in,2022,555000,411,상,제조사 spec,NAS용 / 가격 대략(2026-07)
Seagate IronWolf Pro 20TB,Seagate,20,7200,256,SATA III,3.5in,2023,700000,519,상,제조사 spec,NAS용 / 가격 대략(2026-07)
Seagate Exos X18 16TB,Seagate,16,7200,256,SATA III,3.5in,2021,540000,400,상,제조사 spec,엔터프라이즈 / 가격 대략(2026-07)
Seagate Exos X20 20TB,Seagate,20,7200,256,SATA III,3.5in,2022,690000,511,상,제조사 spec,엔터프라이즈 / 가격 대략(2026-07)
