name,brand,type,capacity_gb,kit_config,speed_mts,cas_latency,voltage_v,price_krw,price_usd,reliability,source,note
Corsair Vengeance LPX 16GB,Corsair,DDR4,16,2x8,3200,16,1.35,50000,37,상,제조사 spec,가격 대략(2026-07)
Corsair Vengeance LPX 32GB,Corsair,DDR4,32,2x16,3200,16,1.35,90000,67,상,제조사 spec,가격 대략(2026-07)
Corsair Vengeance RGB Pro 16GB,Corsair,DDR4,16,2x8,3600,18,1.35,65000,48,상,제조사 spec,가격 대략(2026-07)
Corsair Vengeance RGB Pro 32GB,Corsair,DDR4,32,2x16,3600,18,1.35,110000,81,상,제조사 spec,가격 대략(2026-07)
G.Skill Ripjaws V 16GB,G.Skill,DDR4,16,2x8,3200,16,1.35,48000,36,상,제조사 spec,가격 대략(2026-07)
G.Skill Ripjaws V 32GB,G.Skill,DDR4,32,2x16,3600,16,1.35,105000,78,상,제조사 spec,가격 대략(2026-07)
G.Skill Trident Z Neo 32GB,G.Skill,DDR4,32,2x16,3600,16,1.35,125000,93,상,제조사 spec,RGB / 가격 대략(2026-07)
Crucial Ballistix 16GB,Crucial,DDR4,16,2x8,3200,16,1.35,52000,39,상,제조사 spec,가격 대략(2026-07)
Kingston Fury Beast 16GB,Kingston,DDR4,16,2x8,3200,16,1.35,50000,37,상,제조사 spec,가격 대략(2026-07)
Kingston Fury Beast 32GB,Kingston,DDR4,32,2x16,3600,18,1.35,100000,74,상,제조사 spec,가격 대략(2026-07)
TeamGroup T-Force Vulcan Z 16GB,TeamGroup,DDR4,16,2x8,3200,16,1.35,45000,33,상,제조사 spec,가격 대략(2026-07)
Samsung DDR4 8GB,Samsung,DDR4,8,1x8,3200,22,1.2,28000,21,상,제조사 spec,단면/일반 / 가격 대략(2026-07)
Samsung DDR4 16GB,Samsung,DDR4,16,1x16,3200,22,1.2,48000,36,상,제조사 spec,일반 / 가격 대략(2026-07)
Corsair Vengeance DDR5 32GB,Corsair,DDR5,32,2x16,5600,36,1.25,135000,100,상,제조사 spec,가격 대략(2026-07)
Corsair Vengeance DDR5 32GB 6000,Corsair,DDR5,32,2x16,6000,30,1.35,155000,115,상,제조사 spec,가격 대략(2026-07)
Corsair Dominator Platinum RGB 32GB,Corsair,DDR5,32,2x16,6000,30,1.4,215000,160,상,제조사 spec,가격 대략(2026-07)
G.Skill Trident Z5 RGB 32GB,G.Skill,DDR5,32,2x16,6000,30,1.35,165000,122,상,제조사 spec,가격 대략(2026-07)
G.Skill Trident Z5 RGB 32GB 6400,G.Skill,DDR5,32,2x16,6400,32,1.4,185000,137,상,제조사 spec,가격 대략(2026-07)
G.Skill Flare X5 32GB,G.Skill,DDR5,32,2x16,6000,30,1.35,150000,111,상,제조사 spec,AMD EXPO / 가격 대략(2026-07)
G.Skill Trident Z5 64GB,G.Skill,DDR5,64,2x32,6000,32,1.4,310000,230,상,제조사 spec,가격 대략(2026-07)
Kingston Fury Beast DDR5 32GB,Kingston,DDR5,32,2x16,5600,36,1.25,130000,96,상,제조사 spec,가격 대략(2026-07)
Kingston Fury Beast DDR5 32GB 6000,Kingston,DDR5,32,2x16,6000,36,1.35,145000,107,상,제조사 spec,가격 대략(2026-07)
Kingston Fury Renegade DDR5 32GB,Kingston,DDR5,32,2x16,6400,32,1.4,190000,141,상,제조사 spec,가격 대략(2026-07)
Crucial Pro DDR5 32GB,Crucial,DDR5,32,2x16,5600,46,1.1,120000,89,상,제조사 spec,가격 대략(2026-07)
Crucial DDR5 16GB,Crucial,DDR5,16,1x16,4800,40,1.1,60000,44,상,제조사 spec,일반 / 가격 대략(2026-07)
TeamGroup T-Force Delta RGB DDR5 32GB,TeamGroup,DDR5,32,2x16,6000,38,1.3,140000,104,상,제조사 spec,가격 대략(2026-07)
TeamGroup T-Create Expert DDR5 32GB,TeamGroup,DDR5,32,2x16,6000,30,1.35,150000,111,상,제조사 spec,가격 대략(2026-07)
Samsung DDR5 16GB,Samsung,DDR5,16,1x16,4800,40,1.1,58000,43,상,제조사 spec,일반 / 가격 대략(2026-07)
Samsung DDR5 32GB,Samsung,DDR5,32,1x32,5600,46,1.1,115000,85,상,제조사 spec,일반 / 가격 대략(2026-07)
Corsair Vengeance DDR5 64GB,Corsair,DDR5,64,2x32,6000,30,1.4,300000,222,상,제조사 spec,가격 대략(2026-07)
G.Skill Trident Z5 Royal 48GB,G.Skill,DDR5,48,2x24,6400,32,1.4,260000,193,상,제조사 spec,가격 대략(2026-07)
Corsair Dominator Titanium 48GB,Corsair,DDR5,48,2x24,7200,36,1.4,290000,215,상,제조사 spec,가격 대략(2026-07)
G.Skill Trident Z5 RGB 32GB 7200,G.Skill,DDR5,32,2x16,7200,34,1.4,220000,163,상,제조사 spec,가격 대략(2026-07)
G.Skill Trident Z5 RGB 32GB 8000,G.Skill,DDR5,32,2x16,8000,38,1.45,280000,207,상,제조사 spec,고클럭 / 가격 대략(2026-07)
Kingston Fury Beast DDR4 8GB,Kingston,DDR4,8,1x8,3200,16,1.35,26000,19,상,제조사 spec,가격 대략(2026-07)
Corsair Vengeance LPX 8GB,Corsair,DDR4,8,1x8,3200,16,1.35,25000,19,상,제조사 spec,가격 대략(2026-07)
Corsair Vengeance LPX 64GB,Corsair,DDR4,64,2x32,3200,16,1.35,175000,130,상,제조사 spec,가격 대략(2026-07)
G.Skill Ripjaws V 64GB,G.Skill,DDR4,64,2x32,3600,18,1.35,180000,133,상,제조사 spec,가격 대략(2026-07)
TeamGroup Elite DDR5 16GB,TeamGroup,DDR5,16,1x16,5600,46,1.1,55000,41,상,제조사 spec,일반 / 가격 대략(2026-07)
Patriot Viper Steel DDR4 16GB,Patriot,DDR4,16,2x8,3600,18,1.35,58000,43,상,제조사 spec,가격 대략(2026-07)
Patriot Viper Venom DDR5 32GB,Patriot,DDR5,32,2x16,6000,30,1.35,145000,107,상,제조사 spec,가격 대략(2026-07)
ADATA XPG Lancer DDR5 32GB,ADATA,DDR5,32,2x16,6000,30,1.35,148000,110,상,제조사 spec,가격 대략(2026-07)
ADATA XPG Spectrix D50 DDR4 16GB,ADATA,DDR4,16,2x8,3600,18,1.35,62000,46,상,제조사 spec,RGB / 가격 대략(2026-07)
Crucial Pro Overclocking DDR5 32GB,Crucial,DDR5,32,2x16,6000,36,1.35,140000,104,상,제조사 spec,가격 대략(2026-07)
G.Skill Trident Z5 Neo 32GB,G.Skill,DDR5,32,2x16,6000,30,1.35,160000,119,상,제조사 spec,AMD EXPO / 가격 대략(2026-07)
Kingston Fury Renegade DDR5 32GB 7200,Kingston,DDR5,32,2x16,7200,38,1.45,215000,159,상,제조사 spec,가격 대략(2026-07)
Corsair Vengeance RGB DDR5 32GB,Corsair,DDR5,32,2x16,6000,36,1.35,160000,119,상,제조사 spec,RGB / 가격 대략(2026-07)
