name,brand,interface,form_factor,capacity_gb,seq_read_mbps,seq_write_mbps,tbw,price_krw,price_usd,reliability,source,note
Samsung 870 EVO 1TB,Samsung,SATA III,2.5in,1000,560,530,600,90000,67,상,제조사 spec,가격 대략(2026-07)
Samsung 870 EVO 500GB,Samsung,SATA III,2.5in,500,560,530,300,55000,41,상,제조사 spec,가격 대략(2026-07)
Samsung 870 QVO 2TB,Samsung,SATA III,2.5in,2000,560,530,720,160000,119,상,제조사 spec,QLC / 가격 대략(2026-07)
Crucial MX500 1TB,Crucial,SATA III,2.5in,1000,560,510,360,80000,59,상,제조사 spec,가격 대략(2026-07)
Crucial MX500 500GB,Crucial,SATA III,2.5in,500,560,510,180,50000,37,상,제조사 spec,가격 대략(2026-07)
WD Blue SA510 1TB,Western Digital,SATA III,2.5in,1000,560,520,400,78000,58,상,제조사 spec,가격 대략(2026-07)
Kingston A400 480GB,Kingston,SATA III,2.5in,480,500,450,160,42000,31,상,제조사 spec,가격 대략(2026-07)
SanDisk SSD Plus 1TB,SanDisk,SATA III,2.5in,1000,535,450,300,72000,53,상,제조사 spec,가격 대략(2026-07)
Samsung 980 500GB,Samsung,PCIe 3.0 NVMe,M.2 2280,500,3100,2600,300,55000,41,상,제조사 spec,DRAMless / 가격 대략(2026-07)
Samsung 980 1TB,Samsung,PCIe 3.0 NVMe,M.2 2280,1000,3500,3000,600,90000,67,상,제조사 spec,가격 대략(2026-07)
Samsung 980 PRO 1TB,Samsung,PCIe 4.0 NVMe,M.2 2280,1000,7000,5000,600,120000,89,상,제조사 spec,가격 대략(2026-07)
Samsung 980 PRO 2TB,Samsung,PCIe 4.0 NVMe,M.2 2280,2000,7000,5100,1200,215000,159,상,제조사 spec,가격 대략(2026-07)
Samsung 990 PRO 1TB,Samsung,PCIe 4.0 NVMe,M.2 2280,1000,7450,6900,600,150000,111,상,제조사 spec,가격 대략(2026-07)
Samsung 990 PRO 2TB,Samsung,PCIe 4.0 NVMe,M.2 2280,2000,7450,6900,1200,250000,185,상,제조사 spec,가격 대략(2026-07)
Samsung 990 EVO Plus 1TB,Samsung,PCIe 4.0 NVMe,M.2 2280,1000,7250,6300,600,105000,78,상,제조사 spec,가격 대략(2026-07)
WD Black SN770 1TB,Western Digital,PCIe 4.0 NVMe,M.2 2280,1000,5150,4900,600,95000,70,상,제조사 spec,DRAMless / 가격 대략(2026-07)
WD Black SN850X 1TB,Western Digital,PCIe 4.0 NVMe,M.2 2280,1000,7300,6300,600,125000,93,상,제조사 spec,가격 대략(2026-07)
WD Black SN850X 2TB,Western Digital,PCIe 4.0 NVMe,M.2 2280,2000,7300,6600,1200,230000,170,상,제조사 spec,가격 대략(2026-07)
Crucial P3 Plus 1TB,Crucial,PCIe 4.0 NVMe,M.2 2280,1000,5000,4200,220,80000,59,상,제조사 spec,QLC DRAMless / 가격 대략(2026-07)
Crucial P5 Plus 1TB,Crucial,PCIe 4.0 NVMe,M.2 2280,1000,6600,5000,600,105000,78,상,제조사 spec,가격 대략(2026-07)
Crucial T500 1TB,Crucial,PCIe 4.0 NVMe,M.2 2280,1000,7300,6800,600,120000,89,상,제조사 spec,가격 대략(2026-07)
Kingston NV2 1TB,Kingston,PCIe 4.0 NVMe,M.2 2280,1000,3500,2800,320,70000,52,상,제조사 spec,DRAMless / 가격 대략(2026-07)
Kingston KC3000 1TB,Kingston,PCIe 4.0 NVMe,M.2 2280,1000,7000,6000,800,115000,85,상,제조사 spec,가격 대략(2026-07)
SK Hynix Platinum P41 1TB,SK Hynix,PCIe 4.0 NVMe,M.2 2280,1000,7000,6500,750,120000,89,상,제조사 spec,가격 대략(2026-07)
SK Hynix Platinum P41 2TB,SK Hynix,PCIe 4.0 NVMe,M.2 2280,2000,7000,6500,1500,230000,170,상,제조사 spec,가격 대략(2026-07)
Samsung 9100 PRO 1TB,Samsung,PCIe 5.0 NVMe,M.2 2280,1000,14700,13400,600,215000,159,상,제조사 spec,PCIe5 / 가격 대략(2026-07)
Samsung 9100 PRO 2TB,Samsung,PCIe 5.0 NVMe,M.2 2280,2000,14800,13400,1200,375000,278,상,제조사 spec,PCIe5 / 가격 대략(2026-07)
Crucial T700 1TB,Crucial,PCIe 5.0 NVMe,M.2 2280,1000,11700,9500,600,200000,148,상,제조사 spec,PCIe5 / 가격 대략(2026-07)
Crucial T700 2TB,Crucial,PCIe 5.0 NVMe,M.2 2280,2000,12400,11800,1200,350000,259,상,제조사 spec,PCIe5 / 가격 대략(2026-07)
Crucial T705 2TB,Crucial,PCIe 5.0 NVMe,M.2 2280,2000,14500,12700,1200,400000,296,상,제조사 spec,PCIe5 / 가격 대략(2026-07)
WD Black SN8100 1TB,Western Digital,PCIe 5.0 NVMe,M.2 2280,1000,14900,11000,600,210000,156,상,제조사 spec,PCIe5 / 가격 대략(2026-07)
WD Black SN8100 2TB,Western Digital,PCIe 5.0 NVMe,M.2 2280,2000,14900,14000,1200,370000,274,상,제조사 spec,PCIe5 / 가격 대략(2026-07)
Corsair MP600 Pro 1TB,Corsair,PCIe 4.0 NVMe,M.2 2280,1000,7000,5500,700,110000,81,상,제조사 spec,가격 대략(2026-07)
Corsair MP700 Pro 2TB,Corsair,PCIe 5.0 NVMe,M.2 2280,2000,12400,11800,1400,360000,267,상,제조사 spec,PCIe5 / 가격 대략(2026-07)
TeamGroup MP44 1TB,TeamGroup,PCIe 4.0 NVMe,M.2 2280,1000,7400,6900,600,85000,63,상,제조사 spec,DRAMless / 가격 대략(2026-07)
ADATA Legend 960 1TB,ADATA,PCIe 4.0 NVMe,M.2 2280,1000,7400,6000,780,95000,70,상,제조사 spec,가격 대략(2026-07)
Seagate FireCuda 530 1TB,Seagate,PCIe 4.0 NVMe,M.2 2280,1000,7300,6000,1275,125000,93,상,제조사 spec,가격 대략(2026-07)
Seagate FireCuda 540 2TB,Seagate,PCIe 5.0 NVMe,M.2 2280,2000,10000,10000,2000,360000,267,상,제조사 spec,PCIe5 / 가격 대략(2026-07)
Samsung 990 PRO 4TB,Samsung,PCIe 4.0 NVMe,M.2 2280,4000,7450,6900,2400,540000,400,상,제조사 spec,가격 대략(2026-07)
WD Black SN850X 4TB,Western Digital,PCIe 4.0 NVMe,M.2 2280,4000,7300,6600,2400,500000,370,상,제조사 spec,가격 대략(2026-07)
Crucial P3 Plus 2TB,Crucial,PCIe 4.0 NVMe,M.2 2280,2000,5000,4200,440,150000,111,상,제조사 spec,QLC / 가격 대략(2026-07)
Kingston NV3 1TB,Kingston,PCIe 4.0 NVMe,M.2 2280,1000,6000,5000,320,72000,53,상,제조사 spec,DRAMless / 가격 대략(2026-07)
Samsung 870 EVO 2TB,Samsung,SATA III,2.5in,2000,560,530,1200,175000,130,상,제조사 spec,가격 대략(2026-07)
Crucial MX500 2TB,Crucial,SATA III,2.5in,2000,560,510,700,165000,122,상,제조사 spec,가격 대략(2026-07)
WD Blue SN580 1TB,Western Digital,PCIe 4.0 NVMe,M.2 2280,1000,4150,4150,600,80000,59,상,제조사 spec,DRAMless / 가격 대략(2026-07)
Samsung 990 EVO Plus 2TB,Samsung,PCIe 4.0 NVMe,M.2 2280,2000,7250,6300,1200,180000,133,상,제조사 spec,가격 대략(2026-07)
Lexar NM790 2TB,Lexar,PCIe 4.0 NVMe,M.2 2280,2000,7400,6500,1500,160000,119,상,제조사 spec,DRAMless / 가격 대략(2026-07)
Sabrent Rocket 4 Plus 2TB,Sabrent,PCIe 4.0 NVMe,M.2 2280,2000,7100,6600,1400,190000,141,중,제조사 spec,가격 대략(2026-07)
TeamGroup MP44L 500GB,TeamGroup,PCIe 4.0 NVMe,M.2 2280,500,5000,3500,300,48000,36,상,제조사 spec,DRAMless / 가격 대략(2026-07)
