name,brand,type,standard,bands,max_speed_mbps,antennas,interface,price_krw,price_usd,reliability,source,note
Intel AX200,Intel,M.2 module,WiFi 6,2.4/5GHz,2402,2,M.2 2230,25000,19,상,제조사 spec,BT5.2 / 가격 대략(2026-07)
Intel AX210,Intel,M.2 module,WiFi 6E,2.4/5/6GHz,2402,2,M.2 2230,35000,26,상,제조사 spec,BT5.3 / 가격 대략(2026-07)
Intel BE200,Intel,M.2 module,WiFi 7,2.4/5/6GHz,5800,2,M.2 2230,45000,33,상,제조사 spec,BT5.4 / 가격 대략(2026-07)
TP-Link Archer TX20E,TP-Link,PCIe card,WiFi 6,2.4/5GHz,2402,2,PCIe x1,40000,30,상,제조사 spec,AX1800급 / 가격 대략(2026-07)
TP-Link Archer TX50E,TP-Link,PCIe card,WiFi 6E,2.4/5/6GHz,2402,2,PCIe x1,55000,41,상,제조사 spec,AX3000급 / 가격 대략(2026-07)
TP-Link Archer TXE75E,TP-Link,PCIe card,WiFi 6E,2.4/5/6GHz,2402,2,PCIe x1,60000,44,상,제조사 spec,AXE5400급 / 가격 대략(2026-07)
TP-Link Archer TBE550E,TP-Link,PCIe card,WiFi 7,2.4/5/6GHz,5800,2,PCIe x1,90000,67,상,제조사 spec,BE9300급 / 가격 대략(2026-07)
ASUS PCE-AX58BT,ASUS,PCIe card,WiFi 6,2.4/5GHz,2402,2,PCIe x1,55000,41,상,제조사 spec,AX3000급 / 가격 대략(2026-07)
ASUS PCE-AXE59BT,ASUS,PCIe card,WiFi 6E,2.4/5/6GHz,2402,2,PCIe x1,75000,56,상,제조사 spec,AXE5400급 / 가격 대략(2026-07)
ASUS PCE-BE92BT,ASUS,PCIe card,WiFi 7,2.4/5/6GHz,5800,2,PCIe x1,95000,70,상,제조사 spec,BE9400급 / 가격 대략(2026-07)
Gigabyte GC-WBAX210,Gigabyte,PCIe card,WiFi 6E,2.4/5/6GHz,2402,2,PCIe x1,50000,37,상,제조사 spec,AX210 기반 / 가격 대략(2026-07)
MSI Herald-BE,MSI,M.2 module,WiFi 7,2.4/5/6GHz,5800,2,M.2 2230,45000,33,상,제조사 spec,BT5.4 / 가격 대략(2026-07)
TP-Link Archer T2U Nano,TP-Link,USB adapter,WiFi 5,2.4/5GHz,633,1,USB 2.0,15000,11,상,제조사 spec,AC600급 / 가격 대략(2026-07)
TP-Link Archer T3U,TP-Link,USB adapter,WiFi 5,2.4/5GHz,1300,1,USB 3.0,25000,19,상,제조사 spec,AC1300급 / 가격 대략(2026-07)
TP-Link Archer TX20U Plus,TP-Link,USB adapter,WiFi 6,2.4/5GHz,1800,2,USB 3.0,35000,26,상,제조사 spec,AX1800급 / 가격 대략(2026-07)
TP-Link Archer TXE70UH,TP-Link,USB adapter,WiFi 6E,2.4/5/6GHz,5400,2,USB 3.0,60000,44,상,제조사 spec,AXE5400급 / 가격 대략(2026-07)
