weight_kg,life_stage,daily_kcal,dry_food_g,reliability,source
2,adult,188,51,high,RER×1.6/건식370kcal
3,adult,255,69,high,RER×1.6/건식370kcal
4,adult,317,86,high,RER×1.6/건식370kcal
5,adult,375,101,high,RER×1.6/건식370kcal
7,adult,482,130,high,RER×1.6/건식370kcal
10,adult,630,170,high,RER×1.6/건식370kcal
15,adult,854,231,high,RER×1.6/건식370kcal
20,adult,1059,286,high,RER×1.6/건식370kcal
25,adult,1252,338,high,RER×1.6/건식370kcal
30,adult,1436,388,high,RER×1.6/건식370kcal
35,adult,1611,435,high,RER×1.6/건식370kcal
40,adult,1781,481,high,RER×1.6/건식370kcal
2,puppy,235,64,med,RER×2.0/건식370kcal
5,puppy,468,127,med,RER×2.0/건식370kcal
10,puppy,787,213,med,RER×2.0/건식370kcal
20,puppy,1324,358,med,RER×2.0/건식370kcal
30,puppy,1794,485,med,RER×2.0/건식370kcal
2,senior,165,45,med,RER×1.4/건식370kcal
5,senior,328,89,med,RER×1.4/건식370kcal
10,senior,551,149,med,RER×1.4/건식370kcal
20,senior,927,251,med,RER×1.4/건식370kcal
30,senior,1256,339,med,RER×1.4/건식370kcal
