brand,product,type,target,kcal_per_100g,reliability,source
로얄캐닌,미니 어덜트,건식,dog,388,med,제품표시
로얄캐닌,인도어,건식,cat,375,med,제품표시
힐스,사이언스다이어트 어덜트,건식,dog,363,med,제품표시
힐스,사이언스다이어트 인도어,건식,cat,374,med,제품표시
오리젠,오리지널,건식,dog,394,med,제품표시
오리젠,캣앤키튼,건식,cat,406,med,제품표시
아카나,어덜트독,건식,dog,351,med,제품표시
나우,프레쉬 어덜트,건식,dog,360,med,제품표시
지위픽,에어드라이,건식,dog,470,med,제품표시
ANF,6free,건식,dog,350,med,제품표시
퓨리나,프로플랜 어덜트,건식,dog,370,med,제품표시
내추럴발란스,LID,건식,dog,348,med,제품표시
일반 습식캔,평균,습식,dog,90,high,업계평균
일반 습식캔,평균,습식,cat,95,high,업계평균
처방식(신장),평균,건식,dog,360,low,업계평균
유산균간식,평균,간식,dog,330,low,업계평균
