brand,country,product,diameter_inch,diameter_cm,weight_g,reliability,source
오뚜기,KR,콤비네이션피자,,,415,high,오뚜기몰
CJ고메,KR,클래식콤비네이션,,,405,high,CJ더마켓
노브랜드,KR,콤비네이션피자,,,425,high,SSG
노브랜드,KR,치즈토마토피자,,,350,med,emart
노브랜드,KR,4치즈피자,,,345,med,emart
풀무원,KR,노엣지페퍼로니콤비,,,388,high,다나와
풀무원,KR,노엣지베이컨5치즈,,,376,high,다나와
풀무원,KR,노엣지코리안BBQ,,,322,high,다나와
Costco(Kirkland),US,Pepperoni(4ct),,,540,high,costco.com
Costco(Kirkland),US,Cheese(4ct),,,518,high,costco
DiGiorno,US,RisingCrust Supreme,12,30.5,831,high,소매라벨
DiGiorno,US,RisingCrust 4Cheese,12,30.5,799,high,소매라벨
DiGiorno,US,RisingCrust 3Meat,12,30.5,768,high,소매라벨
Red Baron,US,ClassicCrust Pepperoni,12,30.5,584,high,target
Red Baron,US,ClassicCrust Supreme,,,665,high,amazon
Totino's,US,Party Pepperoni,,,289,high,totinos.com
Totino's,US,Party Combination,,,303,high,totinos.com
