brand,brand_en,country,size_label,diameter_inch,diameter_cm,area_cm2,slices,slice_area_cm2,price,currency,calories_per_slice,reliability,source
도미노피자,Dominos,US,"XS 8""",8,20.3,324.0,4,81.0,,USD,,high,dominos.com
도미노피자,Dominos,US,"Small 10""",10,25.4,507.0,6,84.0,,USD,,high,dominos.com
도미노피자,Dominos,US,"Medium 12""",12,30.5,731.0,8,91.0,,USD,190,high,dominos.com
도미노피자,Dominos,US,"Large 14""",14,35.6,995.0,8,124.0,,USD,270,high,dominos.com
도미노피자,Dominos,US,"XL 16""",16,40.6,1295.0,8,162.0,,USD,365,high,dominos.com
도미노피자,Dominos,KR,R(레귤러),9.8,25,491.0,,,,KRW,,low,비공식(업계표준)
도미노피자,Dominos,KR,L(라지),13.0,33,855.0,,,,KRW,328,med,dominos.co.kr(칼로리)/비공식(cm)
도미노피자,Dominos,JP,S,9.1,23,415.0,8,52.0,,JPY,,high,dominos.jp
도미노피자,Dominos,JP,M,10.6,27,573.0,8,72.0,,JPY,,high,dominos.jp
도미노피자,Dominos,JP,L,12.6,32,804.0,12,67.0,,JPY,,high,dominos.jp
도미노피자,Dominos,JP,NY Style,15.7,40,1257.0,,,2190,JPY,,high,dominos.jp
도미노피자,Dominos,UK,Small,9.5,24.1,456.0,6,76.0,,GBP,145,high,dominos.co.uk
도미노피자,Dominos,UK,Medium,11.5,29.2,670.0,8,84.0,,GBP,193,high,dominos.co.uk
도미노피자,Dominos,UK,Large,13.5,34.3,924.0,10,92.0,,GBP,203,high,dominos.co.uk
피자헛,Pizza Hut,US,"Personal 6""",6,15.2,181.0,4,45.0,,USD,150,high,pizzahut.com
피자헛,Pizza Hut,US,"Medium 12""",12,30.5,731.0,8,91.0,,USD,240,high,pizzahut.com
피자헛,Pizza Hut,US,"Large 14""",14,35.6,995.0,8,124.0,,USD,289,high,pizzahut.com
피자헛,Pizza Hut,US,"XL 16""",16,40.6,1295.0,12,108.0,,USD,,high,pizzahut.com
피자헛,Pizza Hut,KR,M(미디엄),9.8,25,491.0,6,82.0,29900,KRW,263,med,pizzahut.co.kr(칼로리·가격)/비공식(cm)
피자헛,Pizza Hut,KR,L(라지),13.0,33,855.0,8,107.0,35900,KRW,308,med,pizzahut.co.kr(칼로리·가격)/비공식(cm)
파파존스,Papa Johns,US,"Small 10""",10,25.4,507.0,6,84.0,,USD,,high,papajohns.com
파파존스,Papa Johns,US,"Medium 12""",12,30.5,731.0,8,91.0,,USD,,high,papajohns.com
파파존스,Papa Johns,US,"Large 14""",14,35.6,995.0,8,124.0,,USD,290,high,papajohns.com
파파존스,Papa Johns,US,"XL 16""",16,40.6,1295.0,10,130.0,,USD,,high,papajohns.com
파파존스,Papa Johns,KR,R(레귤러),9,22.9,412.0,,,,KRW,,med,namu/papajohns
파파존스,Papa Johns,KR,L(라지),12,30.5,731.0,,,,KRW,,med,namu/papajohns
파파존스,Papa Johns,KR,F(패밀리),14,35.6,995.0,,,,KRW,,med,namu/papajohns
파파존스,Papa Johns,KR,P(파티),16,40.6,1295.0,,,,KRW,,med,namu/papajohns
리틀시저스,Little Caesars,US,"Large 14""",14,35.6,995.0,8,124.0,,USD,236,high,littlecaesars.com
