name_ko,name_en,symbol,value,unit,exact,reliability,source
광속,speed of light in vacuum,c,299792458,m/s,yes,high,CODATA/SI
플랑크 상수,Planck constant,h,6.62607015e-34,J·s,yes,high,CODATA/SI
환산 플랑크 상수,reduced Planck constant,ħ,1.054571817e-34,J·s,no,high,CODATA 2022
기본 전하,elementary charge,e,1.602176634e-19,C,yes,high,CODATA/SI
볼츠만 상수,Boltzmann constant,k,1.380649e-23,J/K,yes,high,CODATA/SI
아보가드로 수,Avogadro constant,NA,6.02214076e23,1/mol,yes,high,CODATA/SI
기체 상수,molar gas constant,R,8.314462618,J/(mol·K),no,high,CODATA 2022
만유인력 상수,gravitational constant,G,6.67430e-11,m^3/(kg·s^2),no,high,CODATA 2022
표준 중력가속도,standard gravity,g0,9.80665,m/s^2,yes,high,SI 정의
전자 질량,electron mass,me,9.1093837015e-31,kg,no,high,CODATA 2022
양성자 질량,proton mass,mp,1.67262192369e-27,kg,no,high,CODATA 2022
중성자 질량,neutron mass,mn,1.67492749804e-27,kg,no,high,CODATA 2022
슈테판-볼츠만 상수,Stefan-Boltzmann constant,σ,5.670374419e-8,W/(m^2·K^4),no,high,CODATA 2022
진공 유전율,vacuum electric permittivity,ε0,8.8541878128e-12,F/m,no,high,CODATA 2022
진공 투자율,vacuum magnetic permeability,µ0,1.25663706212e-6,N/A^2,no,high,CODATA 2022
미세구조 상수,fine-structure constant,α,7.2973525693e-3,dimensionless,no,high,CODATA 2022
패러데이 상수,Faraday constant,F,96485.33212,C/mol,no,high,CODATA 2022
리드베리 상수,Rydberg constant,R∞,10973731.568160,1/m,no,high,CODATA 2022
표준 대기압,standard atmosphere,atm,101325,Pa,yes,high,SI 정의
절대영도,absolute zero,0K,-273.15,°C,yes,high,SI 정의
