gender,foot_mm,kr_mm,us,uk,eu,reliability,source
men,215,220,4,3,35,high,ISO19407
men,220,225,4.5,3.5,35.5,high,ISO19407
men,224,230,5,4,36.5,high,ISO19407
men,229,235,5.5,4.5,37,high,ISO19407
men,233,240,6.5,5.5,38,high,ISO19407
men,237,245,7,6,38.5,high,ISO19407
men,242,250,7.5,6.5,39.5,high,ISO19407
men,246,255,8,7,40,high,ISO19407
men,250,260,8.5,7.5,41,high,ISO19407
men,254,265,9.5,8.5,41.5,high,ISO19407
men,258,270,10,9,42.5,high,ISO19407
men,263,275,10.5,9.5,43,high,ISO19407
men,267,280,11,10,44,high,ISO19407
men,271,285,11.5,10.5,44.5,high,ISO19407
men,275,290,12,11,45.5,high,ISO19407
men,280,295,13,12,46,high,ISO19407
men,284,300,13.5,12.5,47,high,ISO19407
men,288,305,14,13,47.5,high,ISO19407
women,215,220,5,3,35,high,ISO19407
women,220,225,5.5,3.5,35.5,high,ISO19407
women,224,230,6,4,36.5,high,ISO19407
women,229,235,6.5,4.5,37,high,ISO19407
women,233,240,7.5,5.5,38,high,ISO19407
women,237,245,8,6,38.5,high,ISO19407
women,242,250,8.5,6.5,39.5,high,ISO19407
women,246,255,9,7,40,high,ISO19407
women,250,260,9.5,7.5,41,high,ISO19407
women,254,265,10.5,8.5,41.5,high,ISO19407
women,258,270,11,9,42.5,high,ISO19407
women,263,275,11.5,9.5,43,high,ISO19407
women,267,280,12,10,44,high,ISO19407
women,271,285,12.5,10.5,44.5,high,ISO19407
women,275,290,13,11,45.5,high,ISO19407
women,280,295,14,12,46,high,ISO19407
women,284,300,14.5,12.5,47,high,ISO19407
