item,category,brand,scoville_min,scoville_max,measured_on,reliability,source
불닭볶음면(오리지널),라면,삼양식품,4404,4404,완제품,high,삼양/언론
핵불닭볶음면(2018),라면,삼양식품,10000,10000,완제품,high,한국경제
핵불닭볶음면 mini,라면,삼양식품,12000,12000,완제품,high,뉴데일리
까르보불닭볶음면,라면,삼양식품,2400,2400,완제품,high,bizwatch
신라면,라면,농심,3400,3400,완제품,high,namuwiki
신라면 더레드,라면,농심,7500,7500,완제품,high,한국경제
진라면(매운맛),라면,오뚜기,2000,3000,완제품,med,namuwiki
틈새라면(빨개면),라면,팔도,9413,9413,완제품,high,namuwiki
열라면,라면,오뚜기,5013,5013,완제품,high,kdsn
팔도비빔면,라면,팔도,2652,2652,완제품,med,bizwatch
킹뚜껑,라면,팔도,12000,12000,완제품,med,newsspace
불마왕라면,라면,금비유통,14444,14444,완제품,med,newsspace
염라대왕라면,라면,아름,21000,21000,완제품,med,newsspace
프랭크스레드핫,핫소스,Franks RedHot,450,450,소스,high,wikipedia
타바스코(오리지널),핫소스,Tabasco,2500,5000,소스,high,scovillescale
스리라차,핫소스,Huy Fong,2200,2200,소스,high,thedailymeal
엘유카테코 레드하바네로,핫소스,El Yucateco,5790,5790,소스,med,eatthis
Da Bomb Beyond Insanity,핫소스,Da Bomb,135000,135000,소스,high,heatsupply
Mad Dog 357,핫소스,Mad Dog 357,357000,357000,소스(라벨),high,pepperscale
Blair's Mega Death,핫소스,Blair's,550000,550000,소스(라벨),med,growhotpeppers
피망/벨페퍼,고추,,0,0,원물,high,britannica
포블라노,고추,,1000,2000,원물,med,pepperscale
아나하임,고추,,500,2500,원물,med,pepperscale
할라피뇨,고추,,2500,8000,원물,high,britannica
청양고추,고추,,4000,12000,원물,med,namuwiki
치폴레,고추,,5000,10000,원물,med,chilipeppermadness
세라노,고추,,8000,20000,원물,high,trueleafmarket
카이엔,고추,,30000,50000,원물,high,trueleafmarket
하바네로,고추,,100000,350000,원물,high,britannica
고스트페퍼(부트졸로키아),고추,,855000,1041427,원물,high,wikipedia
캐롤라이나 리퍼,고추,,1400000,2200000,원물,high,wikipedia
페퍼 X,고추,,2693000,2693000,원물,high,guinness
