name,width_px,height_px,aspect_ratio,megapixels,reliability,source
QVGA,320,240,4:3,0.08,high,디스플레이 규격
VGA,640,480,4:3,0.31,high,디스플레이 규격
HD,1280,720,16:9,0.92,high,디스플레이 규격
FHD,1920,1080,16:9,2.07,high,디스플레이 규격
WUXGA,1920,1200,16:10,2.30,high,디스플레이 규격
UWFHD,2560,1080,21:9,2.76,high,디스플레이 규격
QHD,2560,1440,16:9,3.69,high,디스플레이 규격
WQXGA,2560,1600,16:10,4.10,high,디스플레이 규격
UWQHD,3440,1440,21:9,4.95,high,디스플레이 규격
QHD+,3200,1800,16:9,5.76,high,디스플레이 규격
4K UHD,3840,2160,16:9,8.29,high,디스플레이 규격
DCI 4K,4096,2160,17:9,8.85,high,영화 규격
5K,5120,2880,16:9,14.75,high,디스플레이 규격
5K2K,5120,2160,21:9,11.06,high,디스플레이 규격
6K,6144,3456,16:9,21.23,high,디스플레이 규격
8K UHD,7680,4320,16:9,33.18,high,디스플레이 규격
