inch,diagonal_cm,width_cm,height_cm,viewing_distance_4k_m,viewing_distance_fhd_m,reliability,source
24,61.0,53.1,29.9,0.6,1.2,high,16:9 기하계산
28,71.1,62.0,34.9,0.7,1.4,high,16:9 기하계산
32,81.3,70.9,39.9,0.8,1.6,high,16:9 기하계산
40,101.6,88.6,49.8,1.0,2.0,high,16:9 기하계산
43,109.2,95.2,53.5,1.1,2.2,high,16:9 기하계산
48,121.9,106.3,59.8,1.2,2.4,high,16:9 기하계산
50,127.0,110.7,62.3,1.3,2.5,high,16:9 기하계산
55,139.7,121.8,68.5,1.4,2.8,high,16:9 기하계산
58,147.3,128.4,72.2,1.5,2.9,high,16:9 기하계산
60,152.4,132.8,74.7,1.5,3.0,high,16:9 기하계산
65,165.1,143.9,81.0,1.6,3.3,high,16:9 기하계산
70,177.8,155.0,87.2,1.8,3.5,high,16:9 기하계산
75,190.5,166.1,93.4,1.9,3.8,high,16:9 기하계산
77,195.6,170.5,95.9,1.9,3.9,high,16:9 기하계산
80,203.2,177.1,99.6,2.0,4.0,high,16:9 기하계산
83,210.8,183.7,103.4,2.1,4.2,high,16:9 기하계산
85,215.9,188.2,105.9,2.1,4.3,high,16:9 기하계산
98,248.9,217.0,122.0,2.5,4.9,high,16:9 기하계산
