standard,voltage_v,current_a,watt,typical_use,reliability,source
USB 2.0,5,0.5,2.5,저속 데이터/구형,high,USB-IF 규격
USB 3.0,5,0.9,4.5,구형 포트,high,USB-IF 규격
BC 1.2,5,1.5,7.5,구형 스마트폰,high,USB-IF 규격
USB-PD,5,3,15,기본 PD/소형기기,high,USB-PD 규격
USB-PD,9,2,18,스마트폰 고속충전,high,USB-PD 규격
삼성 PPS,9,2.77,25,갤럭시 초고속,high,Samsung 규격
USB-PD,9,3.33,30,태블릿/소형노트북,high,USB-PD 규격
삼성 PPS,11,4.05,45,갤럭시 초고속2.0,high,Samsung 규격
USB-PD,15,3,45,노트북,high,USB-PD 규격
USB-PD,20,3.25,65,노트북,high,USB-PD 규격
USB-PD,20,5,100,고성능 노트북,high,USB-PD 규격
USB-PD 3.1,28,5,140,맥북프로16급,high,USB-PD3.1 규격
USB-PD 3.1,36,5,180,게이밍 노트북,high,USB-PD3.1 규격
USB-PD 3.1,48,5,240,최대 사양,high,USB-PD3.1 규격
